Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,43.0,48.0,93.0
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471.0,411.0,402.0
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615.0,565.0,527.0
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367.0,355.0,134.0
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1193.0,1147.0,400.0
c561,c,Malignant neoplasm of right ovary,Neoplasms,93.0,96.0,76.0
c562,c,Malignant neoplasm of left ovary,Neoplasms,110.0,97.0,84.0
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,127.0,157.0,141.0
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,62.0,98.0,99.0
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,720.0,633.0,618.0
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,644.0,596.0,592.0
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,28.0,28.0,33.0
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,28.0,23.0,22.0
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,131.0,132.0,132.0
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,189.0,179.0,152.0
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1200.0,981.0,1031.0
d61810,d,Antineoplastic chemotherapy induced pancytopenia,Blood and immune disorders ,1969.0,1813.0,1836.0
d6832,d,Hemorrhagic disorder due to extrinsic circulating anticoagulants,Blood and immune disorders ,554.0,542.0,600.0
d709,d,"Neutropenia, unspecified",Blood and immune disorders ,1227.0,1096.0,1170.0
d821,d,Di George's syndrome,Blood and immune disorders ,46.0,43.0,31.0
d89811,d,Chronic graft-versus-host disease,Blood and immune disorders ,81.0,90.0,56.0
d89813,d,"Graft-versus-host disease, unspecified",Blood and immune disorders ,100.0,86.0,91.0
e039,e,"Hypothyroidism, unspecified","Endocrine, nutritional and metabolic diseases",43241.0,40337.0,40374.0
e0865,e,Diabetes mellitus due to underlying condition with hyperglycemia,"Endocrine, nutritional and metabolic diseases",50.0,35.0,42.0
e1022,e,Type 1 diabetes mellitus with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",1020.0,896.0,939.0
e10621,e,Type 1 diabetes mellitus with foot ulcer,"Endocrine, nutritional and metabolic diseases",252.0,224.0,218.0
e1065,e,Type 1 diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",1081.0,946.0,1029.0
e1069,e,Type 1 diabetes mellitus with other specified complication,"Endocrine, nutritional and metabolic diseases",195.0,145.0,144.0
e1122,e,Type 2 diabetes mellitus with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",24829.0,24634.0,25015.0
e1139,e,Type 2 diabetes mellitus with other diabetic ophthalmic complication,"Endocrine, nutritional and metabolic diseases",204.0,161.0,169.0
e1143,e,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,"Endocrine, nutritional and metabolic diseases",1357.0,1292.0,1306.0
e11621,e,Type 2 diabetes mellitus with foot ulcer,"Endocrine, nutritional and metabolic diseases",4404.0,3827.0,3930.0
e1165,e,Type 2 diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",20251.0,20334.0,24087.0
e1169,e,Type 2 diabetes mellitus with other specified complication,"Endocrine, nutritional and metabolic diseases",2889.0,2672.0,2707.0
e119,e,Type 2 diabetes mellitus without complications,"Endocrine, nutritional and metabolic diseases",26239.0,25236.0,26547.0
e43,e,Unspecified severe protein-calorie malnutrition,"Endocrine, nutritional and metabolic diseases",7825.0,7548.0,7999.0
e6601,e,Morbid (severe) obesity due to excess calories,"Endocrine, nutritional and metabolic diseases",19262.0,18004.0,22073.0
e785,e,"Hyperlipidemia, unspecified","Endocrine, nutritional and metabolic diseases",79351.0,77339.0,80662.0
e840,e,Cystic fibrosis with pulmonary manifestations,"Endocrine, nutritional and metabolic diseases",137.0,96.0,65.0
e848,e,Cystic fibrosis with other manifestations,"Endocrine, nutritional and metabolic diseases",122.0,78.0,74.0
e854,e,Organ-limited amyloidosis,"Endocrine, nutritional and metabolic diseases",171.0,202.0,198.0
e872,e,Acidosis,"Endocrine, nutritional and metabolic diseases",28250.0,29443.0,32866.0
e890,e,Postprocedural hypothyroidism,"Endocrine, nutritional and metabolic diseases",2309.0,2032.0,2473.0
f0280,f,Dementia in other diseases classified elsewhere without behavioral disturbance,Mental and behavioural disorders,3520.0,3475.0,3371.0
f1123,f,Opioid dependence with withdrawal,Mental and behavioural disorders,4430.0,4251.0,5234.0
f329,f,"Major depressive disorder, single episode, unspecified",Mental and behavioural disorders,36813.0,33103.0,35147.0
f332,f,"Major depressive disorder, recurrent severe without psychotic features",Mental and behavioural disorders,6260.0,6225.0,6930.0
f419,f,"Anxiety disorder, unspecified",Mental and behavioural disorders,37170.0,34708.0,37785.0
f530,f,Postpartum depression,Mental and behavioural disorders,100.0,88.0,74.0
f88,f,Other disorders of psychological development,Mental and behavioural disorders,628.0,628.0,515.0
