Id,alphabet,Description,Category,Prevalence_20202,Cost_support_20202,Chronic Indicator
a044,a,Other intestinal Escherichia coli infections,Certain infectious and parasitic diseases,29.0,0.0,a
a4189,a,Other specified sepsis,Certain infectious and parasitic diseases,4479.0,0.22906898861352998,a
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16267.0,0.12725149074814,a
a530,a,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,91.0,0.0659340659340659,c
a539,a,"Syphilis, unspecified",Certain infectious and parasitic diseases,135.0,0.007407407407407409,a
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,93.0,0.021505376344086002,a
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,402.0,0.009950248756218909,c
a6009,a,Herpesviral infection of other urogenital tract,Certain infectious and parasitic diseases,175.0,0.0114285714285714,c
a749,a,"Chlamydial infection, unspecified",Certain infectious and parasitic diseases,150.0,0.02,a
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,527.0,0.0436432637571157,a
b341,b,"Enterovirus infection, unspecified",Certain infectious and parasitic diseases,24.0,0.0416666666666667,a
b348,b,Other viral infections of unspecified site,Certain infectious and parasitic diseases,102.0,0.0392156862745098,a
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,6464.0,0.0629641089108911,a
b9621,b,Shiga toxin-producing Escherichia coli [E. coli] [STEC] O157 as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,10.0,0.0,a
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,134.0,0.0597014925373134,a
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,400.0,0.055,a
c561,c,Malignant neoplasm of right ovary,Neoplasms,76.0,0.0921052631578947,c
c562,c,Malignant neoplasm of left ovary,Neoplasms,84.0,0.0595238095238095,c
c7491,c,Malignant neoplasm of unspecified part of right adrenal gland,Neoplasms,10.0,0.1,c
c7492,c,Malignant neoplasm of unspecified part of left adrenal gland,Neoplasms,22.0,0.0909090909090909,c
c7a1,c,Malignant poorly differentiated neuroendocrine tumors,Neoplasms,63.0,0.0952380952380952,c
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,141.0,0.0709219858156028,c
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,99.0,0.0909090909090909,c
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,618.0,0.0631067961165049,c
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,592.0,0.0692567567567568,c
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1036.0,0.0675675675675676,c
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2454.0,0.0533822330888346,c
c7951,c,Secondary malignant neoplasm of bone,Neoplasms,2634.0,0.0706150341685649,c
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,33.0,0.12121212121212101,c
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,22.0,0.18181818181818202,c
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,132.0,0.0681818181818182,c
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,152.0,0.0921052631578947,c
c8110,c,"Nodular sclerosis Hodgkin lymphoma, unspecified site",Neoplasms,10.0,0.1,c
c966,c,Unifocal Langerhans-cell histiocytosis,Neoplasms,10.0,0.0,c
d120,d,Benign neoplasm of cecum,Blood and immune disorders ,116.0,0.0344827586206897,a
d122,d,Benign neoplasm of ascending colon,Blood and immune disorders ,142.0,0.028169014084507005,a
d123,d,Benign neoplasm of transverse colon,Blood and immune disorders ,135.0,0.0592592592592593,a
d124,d,Benign neoplasm of descending colon,Blood and immune disorders ,85.0,0.0588235294117647,a
d125,d,Benign neoplasm of sigmoid colon,Blood and immune disorders ,100.0,0.07,a
d252,d,Subserosal leiomyoma of uterus,Blood and immune disorders ,146.0,0.0,a
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1031.0,0.020368574199806,a
d333,d,Benign neoplasm of cranial nerves,Blood and immune disorders ,75.0,0.17333333333333303,c
d61810,d,Antineoplastic chemotherapy induced pancytopenia,Blood and immune disorders ,1836.0,0.200980392156863,c
d6481,d,Anemia due to antineoplastic chemotherapy,Blood and immune disorders ,959.0,0.0302398331595412,c
d6832,d,Hemorrhagic disorder due to extrinsic circulating anticoagulants,Blood and immune disorders ,600.0,0.156666666666667,c
d684,d,Acquired coagulation factor deficiency,Blood and immune disorders ,2163.0,0.20434581599630103,c
d709,d,"Neutropenia, unspecified",Blood and immune disorders ,1170.0,0.12393162393162402,c
