Id,alphabet,Description,Category,Prevalence_20181,Cost_support_20181,Chronic Indicator
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,17268,0.140548992,a
a528,a,"Late syphilis, latent",Certain infectious and parasitic diseases,25,0.12,c
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,306,0.019607843,c
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,652,0.050613497,a
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,6948,0.066350029,a
c3490,c,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms,1470,0.051020408,c
c50811,c,Malignant neoplasm of overlapping sites of right female breast,Neoplasms,14,0.071428571,c
c50812,c,Malignant neoplasm of overlapping sites of left female breast,Neoplasms,12,0,c
c561,c,Malignant neoplasm of right ovary,Neoplasms,91,0.10989011,c
c562,c,Malignant neoplasm of left ovary,Neoplasms,92,0.119565217,c
c7a1,c,Malignant poorly differentiated neuroendocrine tumors,Neoplasms,52,0.076923077,c
c7b02,c,Secondary carcinoid tumors of liver,Neoplasms,28,0.107142857,c
c7b09,c,Secondary carcinoid tumors of other sites,Neoplasms,12,0,c
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,44,0.090909091,c
c7800,c,Secondary malignant neoplasm of unspecified lung,Neoplasms,1199,0.06088407,c
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,624,0.065705128,c
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,572,0.064685315,c
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1051,0.093244529,c
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2639,0.062523683,c
c7901,c,Secondary malignant neoplasm of right kidney and renal pelvis,Neoplasms,34,0.029411765,c
c7902,c,Secondary malignant neoplasm of left kidney and renal pelvis,Neoplasms,30,0.066666667,c
c7931,c,Secondary malignant neoplasm of brain,Neoplasms,1289,0.086113266,c
c7951,c,Secondary malignant neoplasm of bone,Neoplasms,2649,0.083427709,c
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,26,0.076923077,c
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,21,0.047619048,c
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,134,0.082089552,c
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,147,0.115646259,c
c8400,c,"Mycosis fungoides, unspecified site",Neoplasms,11,0.272727273,c
c84a0,c,"Cutaneous T-cell lymphoma, unspecified, unspecified site",Neoplasms,15,0.133333333,c
d122,d,Benign neoplasm of ascending colon,Blood and immune disorders ,236,0.046610169,a
d123,d,Benign neoplasm of transverse colon,Blood and immune disorders ,232,0.068965517,a
d124,d,Benign neoplasm of descending colon,Blood and immune disorders ,126,0.03968254,a
d151,d,Benign neoplasm of heart,Blood and immune disorders ,46,0.260869565,a
d239,d,"Other benign neoplasm of skin, unspecified",Blood and immune disorders ,10,0,a
d251,d,Intramural leiomyoma of uterus,Blood and immune disorders ,121,0.033057851,a
d252,d,Subserosal leiomyoma of uterus,Blood and immune disorders ,143,0,a
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1054,0.023719165,a
d3501,d,Benign neoplasm of right adrenal gland,Blood and immune disorders ,110,0.072727273,a
d3502,d,Benign neoplasm of left adrenal gland,Blood and immune disorders ,172,0.093023256,a
d61810,d,Antineoplastic chemotherapy induced pancytopenia,Blood and immune disorders ,1743,0.253012048,c
d631,d,Anemia in chronic kidney disease,Blood and immune disorders ,10171,0.103333006,c
d6481,d,Anemia due to antineoplastic chemotherapy,Blood and immune disorders ,1028,0.071011673,c
d6832,d,Hemorrhagic disorder due to extrinsic circulating anticoagulants,Blood and immune disorders ,682,0.156891496,c
d684,d,Acquired coagulation factor deficiency,Blood and immune disorders ,1789,0.221911683,c
d709,d,"Neutropenia, unspecified",Blood and immune disorders ,1229,0.157851912,c
d821,d,Di George's syndrome,Blood and immune disorders ,48,0.125,c
d89810,d,Acute graft-versus-host disease,Blood and immune disorders ,55,0.454545455,c
d89811,d,Chronic graft-versus-host disease,Blood and immune disorders ,81,0.135802469,c
d89813,d,"Graft-versus-host disease, unspecified",Blood and immune disorders ,74,0.216216216,c
