"Source","Target","Weight"
"j9601","z66",0.204
"j9611","z9981",0.2147
"j9621","j9622",0.3215
"j9621","z9981",0.415
"k029","k047",0.2655
"k122","l0201",0.2153
"k219","z7982",0.2177
"k219","z79899",0.2266
"k219","z87891",0.2517
"k3189","k766",0.3587
"k50113","k50114",0.3041
"k521","t3695xa",0.2564
"k5901","r530",0.314
"k5903","t402x5a",0.521
"k5903","t40605a",0.2735
"k592","n319",0.2185
"k644","k648",0.2012
"k7031","k7290",0.2361
"k7031","k766",0.3284
"k7290","k766",0.2741
"k745","q442",0.2076
"k7460","k766",0.2201
"k7460","r188",0.2562
"k766","r188",0.2181
"k831","o2662",0.2262
"l0201","l03211",0.2169
"l0211","l03221",0.2816
"l02211","l03311",0.2532
"l02212","l03312",0.2399
"l02213","l03313",0.2033
"l02214","l03314",0.3223
"l02215","l03315",0.221
"l0231","l03317",0.3855
"l02411","l03111",0.3435
"l02412","l03112",0.4795
"l02413","l03113",0.2096
"l02414","l03114",0.2403
"l02511","l03011",0.2746
"l02512","l03012",0.2529
"l02811","l03811",0.2338
"l03115","l03116",0.2552
"l22","p375",0.2012
"l233","t490x5a",0.4159
"l89154","m4628",0.2975
"l89212","l89222",0.2217
"l89213","l89223",0.3056
"l89214","l89224",0.3746
"l89219","l89229",0.2496
"l89310","l89320",0.4795
"l89311","l89321",0.4877
"l89312","l89322",0.4888
"l89313","l89323",0.4285
"l89314","l89324",0.3758
"l89316","l89326",0.3889
"l89319","l89329",0.4419
"l89519","l89529",0.3551
"l89610","l89620",0.3333
"l89611","l89621",0.5712
"l89612","l89622",0.2732
"l89613","l89623",0.2641
"l89614","l89624",0.3263
"l89616","l89626",0.3088
"l89619","l89629",0.4252
"l97519","l97529",0.2085
"l97811","l97821",0.4071
"l97812","l97822",0.3508
"l97818","l97828",0.3946
"l97819","l97829",0.3763
"l97911","l97921",0.5193
"l97912","l97922",0.2151
"l97919","l97929",0.4923
"m13861","m13862",0.4995
"m14671","m14672",0.3391
"m19021","m19022",0.2263
"m19031","m19032",0.2331
"m19041","m19042",0.7879
"m19071","m19072",0.2329
"m19171","m24571",0.2209
"m19171","m25371",0.2073
"m2011","m2012",0.3631
"m2011","m2041",0.2021
"m2011","m21611",0.251
"m2041","m2042",0.2935
"m21371","m21372",0.2181
"m2141","m2142",0.4225
"m21611","m21612",0.3313
"m238x1","m238x2",0.3029
"m24511","m24512",0.2481
"m24541","m24542",0.5249
"m24551","m24552",0.3908
"m24561","m24562",0.3651
"m24571","m24572",0.285
"m24571","m65871",0.2078
"m25471","m25472",0.2349
"m25541","m25542",0.4385
"m25561","m25562",0.2753
"m25612","m7522",0.2059
"m25751","m94251",0.2325
"m25811","m25812",0.2675
"m25851","m25852",0.3041
"m2602","m2603",0.4972
"m2602","m264",0.2714
"m2603","m264",0.2085
"m4124","m4125",0.3475
"m4124","m4126",0.2386
"m4316","m4726",0.2059
"m4316","m48061",0.245
"m4316","m48062",0.3495
"m4316","m5116",0.2429
"m4316","m5416",0.2523
"m4317","m4807",0.2459
"m4622","m4642",0.3656
"m4624","m4644",0.4104
"m4625","m4645",0.3589
"m4626","m4646",0.4476
"m4627","m4647",0.3123
"m4712","m4722",0.2564
"m4712","m4802",0.2064
"m4726","m48062",0.2058
"m4726","m5116",0.2695
"m48061","m5116",0.2318
"m48061","m5416",0.2008
"m48062","m5116",0.2245
"m4807","m5117",0.3139
"m50021","m50121",0.2781
"m50022","m50122",0.2895
"m50023","m50123",0.3508
"m5441","m5442",0.3704
"m62461","m62462",0.4757
"m62561","m62562",0.6975
"m7071","m7072",0.3304
"m7542","m7552",0.3214
"m79604","m79605",0.3064
"m79641","m79642",0.2046
"m79651","m79652",0.202
"m79661","m79662",0.2614
"m79671","m79672",0.2396
"m86162","t84623a",0.203
"m86651","m86652",0.212
"m89551","t84060a",0.2281
"m90551","m90552",0.3177
"m9251","m9252",0.6
"m9701xd","s72111d",0.2058
"n138","n401",0.2864
"n141","t508x5a",0.5817
"n170","r6521",0.234
"n179","n183",0.2788
"n179","z794",0.207
"n179","z7982",0.2151
"n179","z79899",0.2046
"n179","z87891",0.2069
"n186","z992",0.8873
"n401","r338",0.5856
"n50811","n50812",0.2161
"n762","n764",0.3317
"n801","n803",0.3333
"n803","n805",0.2282
"n805","n808",0.2457
"n8110","n816",0.2386
"n8301","n8302",0.2936
"n858","o34211",0.2596
"n896","o3463",0.2635
"o00102","o081",0.3529
"o021","z3a17",0.2143
"o1002","o114",0.2148
"o1093","o115",0.232
"o2301","o98811",0.2857
"o2302","o99012",0.2268
"o26831","o99111",0.2039
"o26872","o3432",0.2994
"o26872","o6002",0.2179
"o26891","o99281",0.2164
"o26893","z6711",0.2884
"o26893","z6741",0.3222
"o26893","z6791",0.2045
"o30033","z372",0.2331
"o30043","o321xx2",0.2621
"o30043","z372",0.6956
"o321xx1","o321xx2",0.2985
"o321xx2","z372",0.2958
"o322xx1","o322xx2",0.2809
"o3403","q5120",0.2129
"o3403","q513",0.6619
"o34211","z302",0.3042
"o364xx0","z371",0.6236
"o365931","o365932",0.2585
"o480","z3a40",0.3305
"o480","z3a41",0.4571
"o6002","z3a27",0.2189
"o6014x0","z3a35",0.2009
"o6014x0","z3a36",0.2336
"o6014x1","o6014x2",0.6626
"o665","o7581",0.2014
"o6981x0","z370",0.2032
"o6981x1","o6981x2",0.2026
"o701","z370",0.2152
"o701","z3a40",0.2256
"o723","o751",0.2081
"o80","z370",0.2118
"o80","z3a39",0.2408
"o99011","o99281",0.2479
"o99011","z3a01",0.2
"o99012","o99282",0.2589
"o99111","o99411",0.2285
"o99112","o99412",0.2217
"o99211","o99611",0.2496
"o99281","o99321",0.2099
"o99281","o99341",0.2119
"o99281","o99611",0.2477
"o99281","z3a01",0.3214
"o99282","o99512",0.2103
"o99285","o9943",0.2114
"o99285","o9953",0.2292
"o99321","o99331",0.4587
"o99321","o99341",0.3159
"o99321","z3a01",0.2325
"o99322","o99332",0.4796
"o99322","o99342",0.2344
"o99323","o99333",0.2974
"o99324","o99334",0.2935
"o99325","o99335",0.3875
"o99331","o99341",0.3596
"o99331","o99351",0.2395
"o99331","z3a01",0.232
"o99332","o99342",0.2496
"o99341","o99611",0.2449
"o99341","z3a01",0.2758
"o99343","o99353",0.212
"o99343","o99513",0.2258
"o99355","o9943",0.204
"o99611","z3a01",0.2369
"o99834","z224",0.2872
"p0414","p961",0.234
"p0418","p718",0.4182
"p0449","p961",0.3353
"p0701","p0721",0.594
"p0702","p0722",0.2543
"p0702","p0723",0.2766
"p0702","p0724",0.2339
"p0703","p0724",0.241
"p0703","p0725",0.3252
"p0703","p0726",0.2501
"p0703","p279",0.215
"p0714","p0726",0.2714
"p0714","p0731",0.2131
"p0715","p0732",0.233
"p0715","p0733",0.3253
"p0716","p0734",0.2821
"p0717","p0735",0.2138
"p0717","p0736",0.2433
"p0718","p0737",0.2694
"p0718","p0738",0.2717
"p0718","p590",0.2773
"p0722","p5222",0.2273
"p0737","p590",0.2497
"p0738","p590",0.2098
"p0739","p590",0.2299
"p09","r94120",0.4281
"p220","p284",0.4332
"p220","p2912",0.2121
"p220","p590",0.3972
"p220","p612",0.4985
"p220","p84",0.2476
"p220","p929",0.2088
"p220","q250",0.2263
"p271","p7422",0.2192
"p278","p280",0.2281
"p2810","p7432",0.2279
"p284","p2912",0.3022
"p284","p590",0.4355
"p284","p612",0.4899
"p284","p84",0.2226
"p284","p929",0.2004
"p284","q250",0.2005
"p285","p84",0.2365
"p2912","p590",0.2021
"p2912","p612",0.2338
"p523","p524",0.2
"p590","p612",0.374
"p590","p704",0.214
"p590","p929",0.2771
"p610","p612",0.2286
"p612","p7422",0.235
"p612","p84",0.2396
"p612","p9689",0.2075
"p612","q250",0.2566
"p741","p7421",0.222
"p7441","p74422",0.2334
"q201","q203",0.2201
"q210","q250",0.2169
"q211","q250",0.2871
"q220","q255",0.2562
"q251","q2542",0.2413
"q2545","q258",0.2495
"q2547","q258",0.2667
"q2547","q278",0.215
"q258","q278",0.223
"q315","q320",0.2132
"q320","q322",0.2332
"q6231","q625",0.2253
"q6501","q743",0.2466
"q692","q7033",0.2478
"r269","r6889",0.3156
"r29810","r4701",0.219
"r29810","r471",0.2831
"r29810","r4781",0.2225
"r402110","r402210",0.6476
"r402110","r402340",0.2151
"r402111","r402211",0.8028
"r402111","r402311",0.8126
"r402112","r402212",0.7649
"r402112","r402312",0.6923
"r402113","r402213",0.5724
"r402113","r402313",0.4229
"r402113","r402343",0.2626
"r402114","r402214",0.5293
"r402114","r402314",0.5272
"r402114","r402344",0.2545
"r402120","r402210",0.333
"r402120","r402340",0.5
"r402121","r402221",0.5232
"r402121","r402341",0.4527
"r402121","r402351",0.3414
"r402122","r402222",0.2836
"r402122","r402342",0.3398
"r402122","r402352",0.2973
"r402123","r402213",0.2706
"r402123","r402223",0.36
"r402123","r402343",0.3106
"r402123","r402353",0.3527
"r402124","r402214",0.3156
"r402124","r402224",0.3864
"r402124","r402344",0.3215
"r402124","r402354",0.3557
"r402131","r402351",0.3214
"r402132","r402242",0.2266
"r402132","r402352",0.275
"r402133","r402243",0.2261
"r402133","r402353",0.3169
"r402134","r402244",0.2125
"r402134","r402254",0.2139
"r402134","r402354",0.3253
"r402134","r402364",0.3496
"r402141","r402241",0.3526
"r402141","r402251",0.7262
"r402141","r402361",0.8665
"r402142","r402242",0.227
"r402142","r402252",0.822
"r402142","r402362",0.9102
"r402143","r402243",0.2231
"r402143","r402253",0.8051
"r402143","r402363",0.8659
"r402144","r402244",0.3474
"r402144","r402254",0.5068
"r402144","r402354",0.2138
"r402144","r402364",0.6107
"r402210","r402340",0.3805
"r402211","r402311",0.7901
"r402212","r402312",0.6301
"r402212","r402342",0.2012
"r402213","r402313",0.3012
"r402213","r402343",0.2767
"r402213","r402353",0.3271
"r402214","r402314",0.3689
"r402214","r402344",0.2913
"r402214","r402354",0.2845
"r402221","r402341",0.4344
"r402221","r402351",0.372
"r402222","r402342",0.3424
"r402222","r402352",0.2765
"r402223","r402343",0.2522
"r402223","r402353",0.3049
"r402224","r402344",0.2039
"r402224","r402354",0.3442
"r402241","r402361",0.3371
"r402242","r402362",0.2436
"r402243","r402363",0.2457
"r402244","r402364",0.3467
"r402251","r402361",0.77
"r402252","r402362",0.8511
"r402253","r402363",0.8287
"r402254","r402364",0.6297
"r41840","r41844",0.6038
"r419","r6889",0.3074
"r440","r441",0.3085
"r45851","z590",0.263
"r45851","z62810",0.214
"r45851","z915",0.4717
"r5081","t451x5a",0.2168
"r64","z681",0.2431
"r739","t380x5a",0.2052
"r791","t45515a",0.2294
"s0011xd","s0012xd",0.3475
"s0102xa","s0182xa",0.2635
"s0121xd","s01511d",0.2
"s01551a","s0185xa",0.2068
"s020xxa","s0219xa",0.2336
"s020xxb","s0219xb",0.2677
"s0219xa","s066x9a",0.2031
"s0219xd","s065x9d",0.209
"s0219xd","s066x9d",0.2238
"s0231xa","s0240ca",0.4119
"s0231xa","s0240ea",0.2975
"s0231xd","s0232xd",0.3446
"s0231xd","s0240cd",0.2579
"s0232xa","s0240da",0.3112
"s0232xa","s0240fa",0.2745
"s0240ca","s0240da",0.2092
"s0240ca","s0240ea",0.3407
"s0240cd","s0240ed",0.375
"s0240da","s0240fa",0.3332
"s0240ed","s0240fd",0.2185
"s02411a","s02412a",0.2514
"s02611a","s02612a",0.404
"s02621a","s02622a",0.2438
"s02652b","s0266xb",0.2108
"s02831a","s02832a",0.253
"s0511xa","s0512xa",0.2225
"s061x7a","s065x7a",0.3978
"s061x7a","s066x7a",0.4053
"s062x7a","s065x7a",0.2338
"s062x7a","s066x7a",0.2087
"s06349a","s06359a",0.2058
"s065x0a","s066x0a",0.2188
"s065x0d","s066x0d",0.2918
"s065x1a","s066x1a",0.4195
"s065x7a","s066x7a",0.5055
"s065x9a","s066x9a",0.2927
"s065x9d","s066x9d",0.3941
"s065x9s","s066x9s",0.2408
"s12101a","s12200a",0.2046
"s12300a","s12400a",0.2209
"s12300d","s12400d",0.3679
"s12301a","s12401a",0.2635
"s12400a","s12500a",0.3063
"s12401a","s12501a",0.3197
"s12490a","s12590a",0.3077
"s12500a","s12600a",0.3223
"s12500d","s12600d",0.3131
"s12501a","s12601a",0.2229
"s12590a","s12690a",0.3398
"s12590d","s12690d",0.437
"s12600d","s22019d",0.2378
"s12601a","s22011a",0.2217
"s20221a","s20222a",0.3322
"s22010a","s22020a",0.3865
"s22010a","s22030a",0.3243
"s22010a","s22040a",0.2209
"s22018a","s22028a",0.4888
"s22018a","s22038a",0.2978
"s22018a","s22048a",0.2967
"s22018a","s22058a",0.2412
"s22019a","s22029a",0.3098
"s22019d","s22029d",0.5137
"s22019d","s22039d",0.3427
"s22020a","s22030a",0.388
"s22020a","s22040a",0.25
"s22028a","s22038a",0.4778
"s22028a","s22048a",0.3561
"s22028a","s22058a",0.2445
"s22029a","s22039a",0.352
"s22029d","s22039d",0.4961
"s22029d","s22049d",0.2996
"s22029d","s42102d",0.2036
"s22030a","s22040a",0.4742
"s22038a","s22048a",0.3847
"s22038a","s22058a",0.2719
"s22039a","s22049a",0.4261
"s22039a","s22059a",0.2579
"s22039d","s22049d",0.4863
"s22039d","s22059d",0.2421
"s22040a","s22050a",0.2378
"s22048a","s22058a",0.4092
"s22049a","s22059a",0.3489
"s22049d","s22059d",0.3792
"s22050a","s22060a",0.2076
"s22051a","s22061a",0.3333
"s22058a","s22068a",0.3332
"s22058d","s22068d",0.3322
"s22059a","s22069a",0.2296
"s22059d","s22069d",0.3057
"s22060a","s22070a",0.2635
"s22061a","s22071a",0.3922
"s22068a","s22078a",0.2599
"s22069a","s22079a",0.2386
"s22069d","s22079d",0.2759
"s22080d","s32010d",0.2102
"s22089d","s32019d",0.2376
"s225xxd","s42101d",0.2073
"s233xxa","s335xxa",0.3
"s272xxd","s27321d",0.2508
"s31819a","s31829a",0.4796
"s32018a","s32028a",0.4823
"s32018a","s32038a",0.3883
"s32018a","s32048a",0.2427
"s32018d","s32028d",0.291
"s32019a","s32029a",0.4286
"s32019a","s32039a",0.327
"s32019a","s32049a",0.2272
"s32019d","s32029d",0.4209
"s32019d","s32039d",0.417
"s32019d","s32049d",0.2409
"s32028a","s32038a",0.5013
"s32028a","s32048a",0.3266
"s32029a","s32039a",0.5219
"s32029a","s32049a",0.352
"s32029d","s32039d",0.4893
"s32029d","s32049d",0.3406
"s32038a","s32048a",0.5177
"s32038a","s32058a",0.2216
"s32039a","s32049a",0.4766
"s32039d","s32049d",0.4919
"s32039d","s32059d",0.2371
"s32048a","s32058a",0.389
"s32049a","s32059a",0.3292
"s32049d","s32059d",0.431
"s3219xd","s3282xd",0.2285
"s32421a","s73014a",0.2856
"s32422a","s73015a",0.2108
"s32431a","s32441a",0.208
"s32432a","s32442a",0.3264
"s32501a","s32502a",0.2037
"s32511d","s32591d",0.2198
"s32512d","s32592d",0.2678
"s36039d","s36113d",0.2643
"s37031a","s37032a",0.2222
"s40021a","s40022a",0.3378
"s40021d","s40022d",0.7692
"s40811a","s40812a",0.392
"s40811d","s40812d",0.7093
"s40811d","s80811d",0.2019
"s40811d","s80812d",0.2451
"s40812d","s80811d",0.206
"s41101a","s41102a",0.3177
"s41111d","s41112d",0.3343
"s42101d","s42102d",0.25
"s42292d","s5292xd",0.2051
"s50811a","s50812a",0.2193
"s50811d","s50812d",0.556
"s51811d","s51812d",0.3368
"s52041a","s52121a",0.3724
"s52201a","s52301a",0.2743
"s52201b","s56521a",0.2727
"s52201d","s5291xd",0.2071
"s52501b","s52601b",0.4821
"s52501d","s52601d",0.2461
"s52502b","s52602b",0.2761
"s52502d","s52602d",0.2368
"s52572a","s52612a",0.2659
"s56221a","s56521a",0.4545
"s60221a","s60222a",0.2014
"s60511a","s60512a",0.393
"s60811a","s60812a",0.2084
"s61210a","s61212a",0.2412
"s61212a","s61214a",0.2993
"s61213a","s61215a",0.2008
"s61214a","s61216a",0.237
"s61215a","s61217a",0.3071
"s61411d","s61412d",0.2222
"s61511a","s61512a",0.3512
"s61511d","s61512d",0.5022
"s6401xa","s66124a",0.3585
"s6412xa","s66822a",0.2635
"s70311a","s70312a",0.2896
"s71101a","s71102a",0.2727
"s71111a","s71112a",0.2161
"s71111d","s71112d",0.4846
"s72301k","t84114a",0.2579
"s76111a","s76112a",0.2141
"s8001xa","s8002xa",0.3451
"s8011xa","s8012xa",0.2864
"s8011xd","s8012xd",0.3995
"s80211a","s80212a",0.5444
"s80211d","s80212d",0.5089
"s80811a","s80812a",0.5357
"s80811d","s80812d",0.5531
"s80861a","s80862a",0.5215
"s80921a","s80922a",0.3621
"s81801a","s81802a",0.2333
"s81801d","s81802d",0.2879
"s81811d","s81812d",0.2606
"s82141d","s82831d",0.207
"s82201a","s82401a",0.2221
"s82201b","s82401b",0.4087
"s82201b","s82451b",0.2019
"s82201d","s82401d",0.2855
"s82202b","s82402b",0.4315
"s82202d","s82402d",0.4445
"s82241a","s82441a",0.3449
"s82251a","s82451a",0.2896
"s82252a","s82452a",0.2587
"s82252b","s82452b",0.3621
"s82831b","s82871b",0.2151
"s83241a","s83411a",0.2249
"s83411a","s83511a",0.2913
"s83412a","s83512a",0.3068
"s90511a","s90512a",0.3018
"s90811a","s90812a",0.5
"s90821a","s90822a",0.5399
"s91301a","s91302a",0.2717
"s91301d","s91302d",0.25
"s92111a","s92121a",0.3
"s92211a","s92251a",0.2757
"s92212a","s92252a",0.2635
"s92212a","s92332a",0.2164
"s92312a","s92332a",0.2053
"s92321a","s92331a",0.6647
"s92321a","s92341a",0.5483
"s92322a","s92332a",0.6229
"s92322a","s92342a",0.5333
"s92322d","s92342d",0.6667
"s92322d","s92352d",0.3068
"s92324a","s92334a",0.6036
"s92324a","s92344a",0.2716
"s92325a","s92335a",0.3922
"s92325a","s92345a",0.2301
"s92331a","s92341a",0.6913
"s92331a","s92351a",0.2038
"s92332a","s92342a",0.7868
"s92332a","s92352a",0.207
"s92334a","s92344a",0.5596
"s92335a","s92345a",0.4961
"s92341a","s92351a",0.3288
"s92342a","s92352a",0.2615
"s92342d","s92352d",0.3835
"t2000xa","t2024xa",0.2011
"t2023xa","t2024xa",0.6459
"t2023xa","t2026xa",0.4506
"t2023xa","t2027xa",0.343
"t2023xa","t22231a",0.2316
"t2023xa","t23261a",0.2382
"t2023xa","t23262a",0.3029
"t2024xa","t2026xa",0.4358
"t2024xa","t22212a",0.2691
"t2024xa","t23241a",0.2682
"t2024xa","t23262a",0.2905
"t2026xa","t2027xa",0.236
"t2026xa","t22311a",0.2228
"t2026xa","t23261a",0.3075
"t2026xa","t23262a",0.3987
"t2026xa","t23272a",0.2325
"t2026xa","t24232a",0.2027
