Id,alphabet,Description,Category,Prevalence_20182,Cost_support_20182,Chronic Indicator
a0839,a,Other viral enteritis,Certain infectious and parasitic diseases,57,0.192982456,a
a199,a,"Miliary tuberculosis, unspecified",Certain infectious and parasitic diseases,10,0.1,a
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,15430,0.137783539,a
a5424,a,Gonococcal female pelvic inflammatory disease,Certain infectious and parasitic diseases,18,0,a
a5611,a,Chlamydial female pelvic inflammatory disease,Certain infectious and parasitic diseases,19,0,a
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,418,0.019138756,c
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,596,0.05033557,a
b258,b,Other cytomegaloviral diseases,Certain infectious and parasitic diseases,57,0.210526316,a
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7163,0.065614966,a
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,290,0.044827586,a
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1067,0.056232427,a
c3490,c,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms,1441,0.040249827,c
c561,c,Malignant neoplasm of right ovary,Neoplasms,77,0.064935065,c
c562,c,Malignant neoplasm of left ovary,Neoplasms,81,0.074074074,c
c7b02,c,Secondary carcinoid tumors of liver,Neoplasms,40,0.075,c
c7b04,c,Secondary carcinoid tumors of peritoneum,Neoplasms,14,0.142857143,c
c7b09,c,Secondary carcinoid tumors of other sites,Neoplasms,18,0.111111111,c
c7800,c,Secondary malignant neoplasm of unspecified lung,Neoplasms,1274,0.067503925,c
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,672,0.080357143,c
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,624,0.076923077,c
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1107,0.093947606,c
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2812,0.06685633,c
c7901,c,Secondary malignant neoplasm of right kidney and renal pelvis,Neoplasms,23,0,c
c7902,c,Secondary malignant neoplasm of left kidney and renal pelvis,Neoplasms,31,0.032258065,c
c7931,c,Secondary malignant neoplasm of brain,Neoplasms,1268,0.077287066,c
c7951,c,Secondary malignant neoplasm of bone,Neoplasms,2904,0.076446281,c
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,27,0.185185185,c
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,27,0.185185185,c
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,160,0.06875,c
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,163,0.079754601,c
d122,d,Benign neoplasm of ascending colon,Blood and immune disorders ,230,0.086956522,a
d123,d,Benign neoplasm of transverse colon,Blood and immune disorders ,228,0.074561404,a
d250,d,Submucous leiomyoma of uterus,Blood and immune disorders ,72,0,a
d251,d,Intramural leiomyoma of uterus,Blood and immune disorders ,159,0.031446541,a
d252,d,Subserosal leiomyoma of uterus,Blood and immune disorders ,145,0.013793103,a
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1243,0.024135157,a
