Id,alphabet,Description,Category,Prevalence_20192,Cost_support_20192,Chronic Indicator
a0839,a,Other viral enteritis,Certain infectious and parasitic diseases,55,0.145454545,a
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16939,0.12881516,a
a5402,a,"Gonococcal vulvovaginitis, unspecified",Certain infectious and parasitic diseases,14,0,a
a5602,a,Chlamydial vulvovaginitis,Certain infectious and parasitic diseases,20,0,a
a568,a,Sexually transmitted chlamydial infection of other sites,Certain infectious and parasitic diseases,60,0,a
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471,0.025477707,c
a878,a,Other viral meningitis,Certain infectious and parasitic diseases,14,0.214285714,a
a9232,a,West Nile virus infection with other neurologic manifestation,Certain infectious and parasitic diseases,20,0.35,a
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615,0.022764228,a
b258,b,Other cytomegaloviral diseases,Certain infectious and parasitic diseases,67,0.23880597,a
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7083,0.06889736,a
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367,0.076294278,a
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1193,0.071248952,a
c049,c,"Malignant neoplasm of floor of mouth, unspecified",Neoplasms,20,0.35,c
c3481,c,Malignant neoplasm of overlapping sites of right bronchus and lung,Neoplasms,21,0.047619048,c
c3482,c,Malignant neoplasm of overlapping sites of left bronchus and lung,Neoplasms,12,0,c
c3490,c,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms,1473,0.045485404,c
c411,c,Malignant neoplasm of mandible,Neoplasms,37,0.243243243,c
c561,c,Malignant neoplasm of right ovary,Neoplasms,93,0.075268817,c
c562,c,Malignant neoplasm of left ovary,Neoplasms,110,0.145454545,c
c609,c,"Malignant neoplasm of penis, unspecified",Neoplasms,10,0.1,c
c6921,c,Malignant neoplasm of right retina,Neoplasms,26,0,c
c6922,c,Malignant neoplasm of left retina,Neoplasms,22,0,c
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,127,0.118110236,c
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,62,0.064516129,c
c7800,c,Secondary malignant neoplasm of unspecified lung,Neoplasms,1286,0.069984448,c
