Source,Target,Weight
a0839,b258,0.3275
a199,t366x5a,0.2
a419,r6521,0.2512
a5424,a5611,0.3068
a6000,o9832,0.4819
b009,o9852,0.4655
b9620,n390,0.2347
b9710,b9789,0.2422
c3490,c7931,0.2024
c561,c562,0.3125
c7800,c787,0.2097
c7801,c7802,0.6775
c786,r180,0.2397
c787,c7951,0.2578
c7901,c7902,0.2198
c7951,g893,0.2138
c7961,c7962,0.7407
c7971,c7972,0.582
c7b02,c7b09,0.2214
c7b04,c7b09,0.2317
d122,d123,0.2522
d250,d252,0.2085
d251,d252,0.2139
d259,n920,0.2109
d259,o3413,0.3009
d3501,d3502,0.2245
d47z1,t8690,0.343
d61810,r5081,0.334
d61810,t451x5a,0.4299
d631,e1122,0.3574
d631,e875,0.2439
d631,i120,0.411
d631,i132,0.2364
d631,n186,0.5965
d631,z992,0.5738
d6481,t451x5a,0.2754
d6481,z5111,0.2286
d6832,t45515a,0.3147
d684,k7031,0.2696
d684,k766,0.246
d709,r5081,0.4499
d821,q9381,0.3065
d89811,t8609,0.2436
d89811,t865,0.4225
d89813,t865,0.323
e039,e785,0.2514
e039,i10,0.2161
e039,k219,0.2226
e039,z87891,0.2007
e0580,t381x5a,0.3834
e0865,e848,0.2365
e089,e840,0.2133
e089,e848,0.3263
e1021,e1022,0.3001
e1021,e10319,0.3137
e1022,e10319,0.2471
e1022,e1042,0.2084
e1022,e1043,0.2409
e1022,e10649,0.222
e1022,e1065,0.3295
e10319,e1040,0.2177
e1043,k3184,0.285
e10621,e1069,0.4148
e10628,e1069,0.2137
e1122,e1165,0.2607
e1122,e875,0.2196
e1122,i120,0.2192
e1122,i129,0.4031
e1122,i130,0.2898
e1122,i2510,0.2353
e1122,n179,0.28
e1122,n186,0.3596
e1122,n189,0.2295
e1122,z794,0.3753
e1122,z992,0.3246
e1139,h42,0.3956
e1142,e11621,0.2097
e1143,k3184,0.5082
e1152,i96,0.3575
e11621,e11628,0.2069
e11621,e1169,0.3665
e11621,l97519,0.3882
e11621,l97529,0.3442
e11621,m869,0.2003
e1165,z794,0.341
e1165,z7984,0.2281
e1169,l97519,0.2045
e1169,m869,0.3122
e119,i10,0.2269
e119,z794,0.203
e119,z7984,0.4019
e139,e891,0.38
e139,z90410,0.2024
e230,e232,0.2563
e43,z681,0.3917
e662,j9622,0.2121
e785,i10,0.4137
e785,i2510,0.3887
e785,k219,0.2845
e785,n179,0.2166
e785,z794,0.2099
e785,z7982,0.3629
e785,z79899,0.2954
e785,z87891,0.3109
e8342,e876,0.2632
e8359,n29,0.2973
e840,e848,0.4915
e840,k8681,0.2213
e848,k8681,0.2458
e854,i680,0.6352
e860,e871,0.2126
e860,e872,0.2203
e860,e876,0.2204
e860,n179,0.2791
e871,e872,0.2044
e871,e876,0.2448
e871,n179,0.2231
e872,j9601,0.2133
e872,n179,0.2793
e875,n186,0.2732
e875,z992,0.2588
e890,z85850,0.2975
e891,z90410,0.2501
f0280,g309,0.7546
f1120,g894,0.2296
f1123,f332,0.2216
f1520,z560,0.2164
f17213,z13228,0.2178
f329,f419,0.3656
f329,k219,0.2088
f332,r45851,0.2881
f332,z915,0.2853
f810,f812,0.2719
f88,g800,0.2267
g4440,t463x5a,0.2845
g546,z4781,0.2873
g8191,r29810,0.2122
g8191,r4701,0.2509
g8194,r29810,0.2607
g8220,n319,0.2894
g8929,m549,0.3469
g919,z982,0.2446
g931,i469,0.2803
g935,g936,0.3309
h2510,h524,0.2051
h35123,p0702,0.2311
h35123,p0703,0.2021
h35123,p0724,0.2302
h6093,l2089,0.2137
i10,i2510,0.2244
i10,k219,0.2803
i10,z7982,0.2745
i10,z79899,0.2783
i10,z87891,0.2847
i110,i5022,0.2037
i110,i509,0.3324
i120,n186,0.63
i120,z992,0.6262
i129,n179,0.2608
i129,n189,0.3675
i130,i509,0.2175
i130,n189,0.2363
i132,n186,0.3659
i132,z992,0.365
i2510,i252,0.3204
i2510,k219,0.2061
i2510,n179,0.2279
i2510,z7901,0.2326
i2510,z794,0.2056
i2510,z7982,0.3797
i2510,z79899,0.22
i2510,z87891,0.275
i2510,z951,0.3054
i2510,z955,0.3889
i252,z951,0.2299
i252,z955,0.3711
i2542,i9788,0.2263
i255,i5022,0.2119
i255,i5023,0.2466
i255,z95810,0.2866
i2690,i76,0.3373
i2729,i2781,0.2942
i462,i4901,0.2062
i480,z7901,0.2847
i4891,z7901,0.2496
i5022,z95810,0.2208
i5023,z95810,0.2077
i639,r29810,0.2227
i69019,i69054,0.2383
i69019,i69091,0.2383
i69019,i69098,0.3624
i69054,i69091,0.2857
i69091,i69098,0.3949
i69110,i69111,0.4272
i69110,i69112,0.2757
i69110,i69114,0.5987
i69111,i69112,0.253
i69111,i69114,0.4575
i69111,i69118,0.2921
i69112,i69114,0.4514
i69112,i69118,0.2423
i69118,i69122,0.2418
i69118,i69191,0.2422
i69119,i69120,0.3012
i69119,i69122,0.2521
i69119,i69151,0.2921
i69119,i69154,0.2156
i69119,i69191,0.3569
i69119,i69198,0.2961
i69120,i69122,0.2875
i69120,i69151,0.4777
i69120,i69191,0.383
i69120,i69198,0.2998
i69122,i69151,0.3528
i69122,i69154,0.2294
i69122,i69191,0.5069
i69122,i69192,0.4574
i69122,i69198,0.2847
i69151,i69191,0.3535
i69151,i69198,0.2252
i69154,i69191,0.3645
i69154,i69192,0.2985
i69154,i69198,0.2688
i69191,i69192,0.3672
i69191,i69198,0.3998
i69192,i69198,0.2347
i69219,i69220,0.2116
i69219,i69222,0.2094
i69219,i69251,0.279
i69219,i69291,0.2045
i69219,i69298,0.2149
i69220,i69251,0.2907
i69220,i69298,0.233
i69222,i69291,0.2856
i69251,i69298,0.2432
i69254,i69291,0.246
i69310,i69311,0.3554
i69310,i69314,0.643
i69311,i69314,0.4315
i69312,i69314,0.2056
i69319,i69322,0.2071
i69319,i69391,0.239
i69320,i69322,0.2135
i69320,i69351,0.3095
i69320,i69391,0.2964
i69322,i69391,0.3953
i69322,i69392,0.3424
i69322,i69398,0.2152
i69351,i69391,0.2089
i69391,i69392,0.2854
i69391,i69398,0.2303
i69920,i69991,0.2216
i69922,i69991,0.2139
i82211,i82b21,0.2495
i82221,q311,0.2004
i82411,i82431,0.308
i82412,i82432,0.3792
i82413,i82433,0.313
i82431,i82441,0.2453
i82432,i82442,0.2466
i82433,i82443,0.2508
i82443,i82493,0.2264
i82511,i82531,0.2921
i82512,i82532,0.338
i82513,i82533,0.5098
i82531,i82541,0.2012
i82a11,i82b11,0.3279
i82a12,i82b12,0.3313
i83013,i83023,0.4121
i83013,l97311,0.301
i83018,i83028,0.4737
i83019,i83029,0.4185
i8311,i8312,0.7384
i83218,i83228,0.6659
i83228,l97821,0.2404
i8510,k3189,0.2019
i8510,k766,0.2512
j0110,j0120,0.2996
j189,j440,0.3138
j189,j9601,0.2312
j321,j322,0.2356
j440,j441,0.4352
j440,j9621,0.2833
j440,z9981,0.2237
j441,j9621,0.3403
j441,z9981,0.3309
j449,z9981,0.2043
j470,j471,0.236
j705,t59811a,0.4912
j853,j9851,0.2372
j9601,z66,0.2009
j9621,j9622,0.319
j9621,z9981,0.387
j9851,k223,0.2061
k029,k047,0.2591
k219,z7982,0.2184
k219,z79899,0.2086
k219,z87891,0.2395
k3189,k766,0.3351
k50113,k50114,0.4202
k521,t3695xa,0.2751
k563,k823,0.272
k5730,k648,0.2087
k5903,t402x5a,0.5184
k5903,t40605a,0.3145
k592,n319,0.2274
k644,k648,0.2322
k6812,m4626,0.2254
k7031,k7290,0.2278
k7031,k766,0.3159
k7290,k766,0.2729
k7460,k766,0.2167
k7460,r188,0.2565
k766,r188,0.2095
k831,o2662,0.2177
l0201,l03211,0.2447
l0211,l03221,0.3231
l02211,l03311,0.2483
l02212,l03312,0.2909
l02214,l03314,0.2695
l02215,l03315,0.2136
l0231,l03317,0.3689
l02411,l03111,0.3326
l02412,l03112,0.291
l02413,l03113,0.2281
l02414,l03114,0.2472
l02511,l03011,0.2716
l02512,l03012,0.2319
l02811,l03811,0.3382
l03115,l03116,0.2542
l22,p375,0.2278
l231,t65891a,0.2035
l233,t490x5a,0.2744
l270,t361x5a,0.2093
l89134,l89144,0.4344
l89154,m4628,0.2703
l89210,l89220,0.2622
l89212,l89222,0.2475
l89213,l89223,0.2447
l89214,l89224,0.2852
l89219,l89229,0.2173
l89310,l89320,0.4882
l89311,l89321,0.421
l89312,l89322,0.3988
l89313,l89323,0.4148
l89314,l89324,0.3151
l89319,l89329,0.3805
l89510,l89520,0.2694
l89512,l89522,0.2936
l89513,l89523,0.3801
l89519,l89529,0.2325
l89610,l89620,0.3411
l89611,l89621,0.63
l89612,l89622,0.3625
l89613,l89623,0.2113
l89619,l89629,0.5074
l97119,l97129,0.3227
l97211,l97221,0.4561
l97212,l97222,0.291
l97219,l97229,0.2618
l97418,l97428,0.2012
l97811,l97821,0.3416
l97812,l97822,0.3427
l97819,l97829,0.4092
l97911,l97921,0.5159
l97912,l97922,0.3333
l97919,l97929,0.4827
m06841,m06842,0.9266
m11261,m11262,0.2278
m13861,m13862,0.2353
m14671,m14672,0.3641
m19031,m19032,0.247
m19041,m19042,0.829
m19071,m19072,0.2686
m2010,m21619,0.2143
m2011,m2012,0.3821
m2041,m2042,0.4253
m21371,m21372,0.2348
m2141,m2142,0.4555
m21611,m21612,0.4191
m216x1,m216x2,0.2
m21861,m21862,0.2569
m21961,m21962,0.2498
