Id,alphabet,Description,Category,Prevalence_20202,Cost_support_20202,Chronic Indicator
a044,a,Other intestinal Escherichia coli infections,Certain infectious and parasitic diseases,29,0,a
a4189,a,Other specified sepsis,Certain infectious and parasitic diseases,4479,0.229068989,a
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16267,0.127251491,a
a530,a,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,91,0.065934066,c
a539,a,"Syphilis, unspecified",Certain infectious and parasitic diseases,135,0.007407407,a
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,93,0.021505376,a
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,402,0.009950249,c
a6009,a,Herpesviral infection of other urogenital tract,Certain infectious and parasitic diseases,175,0.011428571,c
a749,a,"Chlamydial infection, unspecified",Certain infectious and parasitic diseases,150,0.02,a
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,527,0.043643264,a
b341,b,"Enterovirus infection, unspecified",Certain infectious and parasitic diseases,24,0.041666667,a
b348,b,Other viral infections of unspecified site,Certain infectious and parasitic diseases,102,0.039215686,a
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,6464,0.062964109,a
b9621,b,Shiga toxin-producing Escherichia coli [E. coli] [STEC] O157 as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,10,0,a
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,134,0.059701493,a
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,400,0.055,a
c561,c,Malignant neoplasm of right ovary,Neoplasms,76,0.092105263,c
c562,c,Malignant neoplasm of left ovary,Neoplasms,84,0.05952381,c
c7491,c,Malignant neoplasm of unspecified part of right adrenal gland,Neoplasms,10,0.1,c
c7492,c,Malignant neoplasm of unspecified part of left adrenal gland,Neoplasms,22,0.090909091,c
c7a1,c,Malignant poorly differentiated neuroendocrine tumors,Neoplasms,63,0.095238095,c
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,141,0.070921986,c
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,99,0.090909091,c
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,618,0.063106796,c
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,592,0.069256757,c
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1036,0.067567568,c
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2454,0.053382233,c
c7951,c,Secondary malignant neoplasm of bone,Neoplasms,2634,0.070615034,c
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,33,0.121212121,c
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,22,0.181818182,c
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,132,0.068181818,c
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,152,0.092105263,c
c8110,c,"Nodular sclerosis Hodgkin lymphoma, unspecified site",Neoplasms,10,0.1,c
c966,c,Unifocal Langerhans-cell histiocytosis,Neoplasms,10,0,c
d120,d,Benign neoplasm of cecum,Blood and immune disorders ,116,0.034482759,a
d122,d,Benign neoplasm of ascending colon,Blood and immune disorders ,142,0.028169014,a
d123,d,Benign neoplasm of transverse colon,Blood and immune disorders ,135,0.059259259,a
d124,d,Benign neoplasm of descending colon,Blood and immune disorders ,85,0.058823529,a
d125,d,Benign neoplasm of sigmoid colon,Blood and immune disorders ,100,0.07,a
d252,d,Subserosal leiomyoma of uterus,Blood and immune disorders ,146,0,a
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1031,0.020368574,a
d333,d,Benign neoplasm of cranial nerves,Blood and immune disorders ,75,0.173333333,c
d61810,d,Antineoplastic chemotherapy induced pancytopenia,Blood and immune disorders ,1836,0.200980392,c
d6481,d,Anemia due to antineoplastic chemotherapy,Blood and immune disorders ,959,0.030239833,c
d6832,d,Hemorrhagic disorder due to extrinsic circulating anticoagulants,Blood and immune disorders ,600,0.156666667,c
d684,d,Acquired coagulation factor deficiency,Blood and immune disorders ,2163,0.204345816,c
d709,d,"Neutropenia, unspecified",Blood and immune disorders ,1170,0.123931624,c
d821,d,Di George's syndrome,Blood and immune disorders ,31,0.225806452,c
d84821,d,Immunodeficiency due to drugs,Blood and immune disorders ,1135,0.119823789,c
d89811,d,Chronic graft-versus-host disease,Blood and immune disorders ,56,0.107142857,c
d89812,d,Acute on chronic graft-versus-host disease,Blood and immune disorders ,15,0.333333333,n
d89813,d,"Graft-versus-host disease, unspecified",Blood and immune disorders ,91,0.142857143,c
d8982,d,Autoimmune lymphoproliferative syndrome [ALPS],Blood and immune disorders ,12,0.25,c
e038,e,Other specified hypothyroidism,"Endocrine, nutritional and metabolic diseases",210,0.057142857,c
e039,e,"Hypothyroidism, unspecified","Endocrine, nutritional and metabolic diseases",40374,0.051914599,c
e0580,e,Other thyrotoxicosis without thyrotoxic crisis or storm,"Endocrine, nutritional and metabolic diseases",79,0.063291139,c
e0822,e,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",14,0.071428571,c
e0865,e,Diabetes mellitus due to underlying condition with hyperglycemia,"Endocrine, nutritional and metabolic diseases",42,0.119047619,c
e1022,e,Type 1 diabetes mellitus with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",939,0.069222577,c
e10319,e,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,"Endocrine, nutritional and metabolic diseases",236,0.093220339,c
e1042,e,Type 1 diabetes mellitus with diabetic polyneuropathy,"Endocrine, nutritional and metabolic diseases",414,0.077294686,c
e1043,e,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,"Endocrine, nutritional and metabolic diseases",517,0.021276596,c
e1052,e,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,"Endocrine, nutritional and metabolic diseases",53,0.226415094,c
e10621,e,Type 1 diabetes mellitus with foot ulcer,"Endocrine, nutritional and metabolic diseases",218,0.082568807,c
e10628,e,Type 1 diabetes mellitus with other skin complications,"Endocrine, nutritional and metabolic diseases",64,0.046875,c
e10649,e,Type 1 diabetes mellitus with hypoglycemia without coma,"Endocrine, nutritional and metabolic diseases",483,0.076604555,c
e1065,e,Type 1 diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",1029,0.056365403,c
e1069,e,Type 1 diabetes mellitus with other specified complication,"Endocrine, nutritional and metabolic diseases",144,0.027777778,c
e1122,e,Type 2 diabetes mellitus with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",25015,0.079912053,c
e1139,e,Type 2 diabetes mellitus with other diabetic ophthalmic complication,"Endocrine, nutritional and metabolic diseases",169,0.106508876,c
e1142,e,Type 2 diabetes mellitus with diabetic polyneuropathy,"Endocrine, nutritional and metabolic diseases",7812,0.062980031,c
e1143,e,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,"Endocrine, nutritional and metabolic diseases",1306,0.072741194,c
e1152,e,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,"Endocrine, nutritional and metabolic diseases",1486,0.174293405,c
e11621,e,Type 2 diabetes mellitus with foot ulcer,"Endocrine, nutritional and metabolic diseases",3930,0.077608142,c
e11628,e,Type 2 diabetes mellitus with other skin complications,"Endocrine, nutritional and metabolic diseases",1135,0.064317181,c
e1165,e,Type 2 diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",24087,0.10516046,c
e1169,e,Type 2 diabetes mellitus with other specified complication,"Endocrine, nutritional and metabolic diseases",2707,0.101588474,c
e119,e,Type 2 diabetes mellitus without complications,"Endocrine, nutritional and metabolic diseases",26547,0.049723133,c
e1365,e,Other specified diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",20,0.1,c
e230,e,Hypopituitarism,"Endocrine, nutritional and metabolic diseases",229,0.104803493,c
e232,e,Diabetes insipidus,"Endocrine, nutritional and metabolic diseases",224,0.200892857,c
e43,e,Unspecified severe protein-calorie malnutrition,"Endocrine, nutritional and metabolic diseases",7999,0.174021753,c
e509,e,"Vitamin A deficiency, unspecified","Endocrine, nutritional and metabolic diseases",18,0.222222222,a
e60,e,Dietary zinc deficiency,"Endocrine, nutritional and metabolic diseases",37,0.27027027,a
e6601,e,Morbid (severe) obesity due to excess calories,"Endocrine, nutritional and metabolic diseases",22073,0.07701717,c
e662,e,Morbid (severe) obesity with alveolar hypoventilation,"Endocrine, nutritional and metabolic diseases",1840,0.135869565,c
e785,e,"Hyperlipidemia, unspecified","Endocrine, nutritional and metabolic diseases",80662,0.0598671,c
e8342,e,Hypomagnesemia,"Endocrine, nutritional and metabolic diseases",13324,0.11152807,c
e8359,e,Other disorders of calcium metabolism,"Endocrine, nutritional and metabolic diseases",145,0.124137931,c
e840,e,Cystic fibrosis with pulmonary manifestations,"Endocrine, nutritional and metabolic diseases",65,0.184615385,c
e848,e,Cystic fibrosis with other manifestations,"Endocrine, nutritional and metabolic diseases",74,0.189189189,c
e854,e,Organ-limited amyloidosis,"Endocrine, nutritional and metabolic diseases",198,0.090909091,c
e860,e,Dehydration,"Endocrine, nutritional and metabolic diseases",26352,0.042691257,a
e870,e,Hyperosmolality and hypernatremia,"Endocrine, nutritional and metabolic diseases",7351,0.367024895,a
e871,e,Hypo-osmolality and hyponatremia,"Endocrine, nutritional and metabolic diseases",39169,0.113610253,a
e872,e,Acidosis,"Endocrine, nutritional and metabolic diseases",32866,0.129404248,a
e875,e,Hyperkalemia,"Endocrine, nutritional and metabolic diseases",14755,0.132836327,a
e876,e,Hypokalemia,"Endocrine, nutritional and metabolic diseases",42711,0.08627754,a
