Source,Target,Weight
a044,b9621,0.2171
a4189,j80,0.2004
a419,r6521,0.2407
a530,o9812,0.2857
a539,o9812,0.2606
a549,a749,0.2324
a549,o9822,0.3403
a6000,o9832,0.4238
a6009,o9832,0.2736
b009,o9852,0.3052
b341,b348,0.2429
b9620,n390,0.2305
b9710,b9789,0.3621
c561,c562,0.3527
c7491,c7492,0.2257
c7801,c7802,0.7125
c786,r180,0.2566
c787,c7951,0.2451
c7951,g893,0.2317
c7961,c7962,0.6775
c7971,c7972,0.5339
c7a1,c7b8,0.2634
c7a8,c7b8,0.3081
c8110,h53129,0.2716
c966,d8982,0.2716
d120,d123,0.213
d122,d123,0.2276
d123,d124,0.2482
d123,d125,0.209
d252,o3413,0.2252
d259,o3413,0.3857
d333,h9041,0.2126
d61810,r5081,0.3162
d61810,t451x5a,0.4588
d6481,t451x5a,0.2474
d6481,z5111,0.2514
d6832,t45515a,0.3653
d684,k7031,0.2657
d684,k766,0.2551
d709,r5081,0.453
d821,q9381,0.36
d84821,t8619,0.201
d89811,t865,0.3759
d89812,h179,0.2068
d89813,t865,0.4606
e038,e230,0.213
e039,e785,0.2514
e039,i10,0.2058
e039,k219,0.2075
e039,z79890,0.3996
e039,z79899,0.2065
e0580,t381x5a,0.2269
e0822,e0865,0.2875
e0865,e840,0.2101
e0865,e848,0.3352
e1022,e10319,0.2066
e1022,e1042,0.2223
e1022,e1043,0.2407
e1022,e10649,0.2153
e1022,e1065,0.3024
e1042,e10621,0.2405
e1043,k3184,0.2805
e1052,e1069,0.2301
e10621,e10628,0.2568
e10621,e1069,0.3379
e10628,e1069,0.2392
e1122,e1165,0.2632
e1122,e785,0.2042
e1122,e875,0.2365
e1122,i120,0.2158
e1122,i129,0.4081
e1122,i130,0.2878
e1122,i2510,0.2397
e1122,n179,0.2672
e1122,n1830,0.2276
e1122,n186,0.3585
e1122,n189,0.2265
e1122,z794,0.3803
e1122,z7982,0.2069
e1122,z992,0.3261
e1139,h42,0.4539
e1142,e11621,0.2276
e1143,k3184,0.5318
e1152,e11621,0.2016
e1152,e1169,0.2377
e1152,i96,0.2939
e11621,e11628,0.2424
e11621,e1169,0.3678
e11621,l97519,0.3893
e11621,l97529,0.3432
e1165,j1289,0.2029
e1165,z794,0.3569
e1165,z7984,0.2547
e1169,m869,0.2762
e119,i10,0.2268
e119,z7984,0.3968
e1365,e891,0.206
e230,e232,0.2242
e43,z681,0.4057
e509,e60,0.2062
e6601,g4733,0.2621
e6601,z6841,0.3411
e6601,z6842,0.2119
e662,j9622,0.2362
e785,i10,0.4343
e785,i2510,0.3817
e785,j9601,0.2014
e785,k219,0.2838
e785,n179,0.2508
e785,z20828,0.2912
e785,z7901,0.2137
e785,z794,0.2262
e785,z7982,0.3762
e785,z7984,0.2012
e785,z79899,0.3854
e785,z87891,0.326
e8342,e876,0.2392
e8359,n29,0.2399
e840,e848,0.4074
e854,i43,0.2627
e854,i680,0.5599
e860,e871,0.212
e860,e872,0.2237
e860,e876,0.2115
e860,n179,0.2691
e870,g9341,0.2021
e870,r6521,0.2235
e871,e872,0.2443
e871,e876,0.2597
e871,j9601,0.2046
e871,n179,0.2491
e872,e875,0.2019
e872,e876,0.2034
e872,j9601,0.2277
e872,n179,0.3062
e872,z66,0.2032
e875,n186,0.2727
e875,z992,0.2564
e876,i10,0.2124
e876,n179,0.2042
e881,l987,0.206
e890,z85850,0.3074
e891,z90410,0.2317
f0280,g20,0.2461
f0280,g309,0.684
f1120,g894,0.2076
