Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202,Color
a044,a,Other intestinal Escherichia coli infections,Certain infectious and parasitic diseases,79,47,29,grey
a4189,a,Other specified sepsis,Certain infectious and parasitic diseases,484,1609,4479,grey
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16939,17062,16267,grey
a530,a,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,63,61,91,grey
a539,a,"Syphilis, unspecified",Certain infectious and parasitic diseases,89,99,135,grey
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,43,48,93,grey
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471,411,402,grey
a6009,a,Herpesviral infection of other urogenital tract,Certain infectious and parasitic diseases,96,106,175,grey
a749,a,"Chlamydial infection, unspecified",Certain infectious and parasitic diseases,117,112,150,grey
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615,565,527,grey
b341,b,"Enterovirus infection, unspecified",Certain infectious and parasitic diseases,27,22,24,grey
b348,b,Other viral infections of unspecified site,Certain infectious and parasitic diseases,242,168,102,grey
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7083,6447,6464,grey
b9621,b,Shiga toxin-producing Escherichia coli [E. coli] [STEC] O157 as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,,,10,grey
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367,355,134,grey
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1193,1147,400,grey
c561,c,Malignant neoplasm of right ovary,Neoplasms,93,96,76,grey
c562,c,Malignant neoplasm of left ovary,Neoplasms,110,97,84,grey
c7491,c,Malignant neoplasm of unspecified part of right adrenal gland,Neoplasms,,,10,grey
c7492,c,Malignant neoplasm of unspecified part of left adrenal gland,Neoplasms,12,11,22,grey
c7a1,c,Malignant poorly differentiated neuroendocrine tumors,Neoplasms,50,46,63,grey
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,127,157,141,grey
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,62,98,99,grey
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,720,633,618,grey
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,644,596,592,grey
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1064,1012,1036,grey
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2683,2508,2454,grey
c7951,c,Secondary malignant neoplasm of bone,Neoplasms,3119,3011,2634,grey
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,28,28,33,grey
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,28,23,22,grey
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,131,132,132,grey
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,189,179,152,grey
c8110,c,"Nodular sclerosis Hodgkin lymphoma, unspecified site",Neoplasms,13,10,10,grey
c966,c,Unifocal Langerhans-cell histiocytosis,Neoplasms,11,12,10,grey
d120,d,Benign neoplasm of cecum,Blood and immune disorders ,137,124,116,grey
d122,d,Benign neoplasm of ascending colon,Blood and immune disorders ,196,149,142,grey
d123,d,Benign neoplasm of transverse colon,Blood and immune disorders ,179,144,135,grey
d124,d,Benign neoplasm of descending colon,Blood and immune disorders ,106,73,85,grey
d125,d,Benign neoplasm of sigmoid colon,Blood and immune disorders ,160,120,100,grey
d252,d,Subserosal leiomyoma of uterus,Blood and immune disorders ,161,121,146,grey
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1200,981,1031,grey
d333,d,Benign neoplasm of cranial nerves,Blood and immune disorders ,84,76,75,grey
d61810,d,Antineoplastic chemotherapy induced pancytopenia,Blood and immune disorders ,1969,1813,1836,grey
d6481,d,Anemia due to antineoplastic chemotherapy,Blood and immune disorders ,1257,1149,959,grey
d6832,d,Hemorrhagic disorder due to extrinsic circulating anticoagulants,Blood and immune disorders ,554,542,600,grey
d684,d,Acquired coagulation factor deficiency,Blood and immune disorders ,1894,1754,2163,grey
d709,d,"Neutropenia, unspecified",Blood and immune disorders ,1227,1096,1170,grey
d821,d,Di George's syndrome,Blood and immune disorders ,46,43,31,grey
d84821,d,Immunodeficiency due to drugs,Blood and immune disorders ,,,1135,grey
d89811,d,Chronic graft-versus-host disease,Blood and immune disorders ,81,90,56,grey
d89812,d,Acute on chronic graft-versus-host disease,Blood and immune disorders ,29,16,15,grey
d89813,d,"Graft-versus-host disease, unspecified",Blood and immune disorders ,100,86,91,grey
d8982,d,Autoimmune lymphoproliferative syndrome [ALPS],Blood and immune disorders ,10,,12,grey
e038,e,Other specified hypothyroidism,"Endocrine, nutritional and metabolic diseases",239,226,210,burlywood1
e039,e,"Hypothyroidism, unspecified","Endocrine, nutritional and metabolic diseases",43241,40337,40374,burlywood1
