Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202
a403,a,Sepsis due to Streptococcus pneumoniae,Certain infectious and parasitic diseases,51.0,118.0,63.0
a4189,a,Other specified sepsis,Certain infectious and parasitic diseases,484.0,1609.0,4479.0
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16939.0,17062.0,16267.0
a430,a,Pulmonary nocardiosis,Certain infectious and parasitic diseases,45.0,58.0,34.0
a438,a,Other forms of nocardiosis,Certain infectious and parasitic diseases,,17.0,10.0
a528,a,"Late syphilis, latent",Certain infectious and parasitic diseases,27.0,42.0,38.0
a530,a,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,63.0,61.0,91.0
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,43.0,48.0,93.0
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471.0,411.0,402.0
a6009,a,Herpesviral infection of other urogenital tract,Certain infectious and parasitic diseases,96.0,106.0,175.0
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615.0,565.0,527.0
b020,b,Zoster encephalitis,Certain infectious and parasitic diseases,,13.0,10.0
b021,b,Zoster meningitis,Certain infectious and parasitic diseases,,14.0,14.0
b027,b,Disseminated zoster,Certain infectious and parasitic diseases,41.0,28.0,30.0
b338,b,Other specified viral diseases,Certain infectious and parasitic diseases,10.0,11.0,10.0
b399,b,"Histoplasmosis, unspecified",Certain infectious and parasitic diseases,24.0,15.0,
b451,b,Cerebral cryptococcosis,Certain infectious and parasitic diseases,23.0,14.0,13.0
b951,b,"Streptococcus, group B, as the cause of diseases classified elsewhere",Certain infectious and parasitic diseases,767.0,839.0,814.0
b952,b,Enterococcus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1758.0,1734.0,1765.0
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7083.0,6447.0,6464.0
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367.0,355.0,134.0
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1193.0,1147.0,400.0
c069,c,"Malignant neoplasm of mouth, unspecified",Neoplasms,38.0,27.0,46.0
c3481,c,Malignant neoplasm of overlapping sites of right bronchus and lung,Neoplasms,21.0,14.0,13.0
c3482,c,Malignant neoplasm of overlapping sites of left bronchus and lung,Neoplasms,12.0,11.0,
c3490,c,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms,1473.0,1468.0,1243.0
c3491,c,Malignant neoplasm of unspecified part of right bronchus or lung,Neoplasms,283.0,285.0,255.0
c3492,c,Malignant neoplasm of unspecified part of left bronchus or lung,Neoplasms,218.0,201.0,195.0
c411,c,Malignant neoplasm of mandible,Neoplasms,37.0,34.0,22.0
c479,c,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",Neoplasms,15.0,19.0,
c495,c,Malignant neoplasm of connective and soft tissue of pelvis,Neoplasms,15.0,26.0,26.0
c50911,c,Malignant neoplasm of unspecified site of right female breast,Neoplasms,340.0,292.0,249.0
c50912,c,Malignant neoplasm of unspecified site of left female breast,Neoplasms,380.0,286.0,273.0
c561,c,Malignant neoplasm of right ovary,Neoplasms,93.0,96.0,76.0
c562,c,Malignant neoplasm of left ovary,Neoplasms,110.0,97.0,84.0
c5701,c,Malignant neoplasm of right fallopian tube,Neoplasms,,12.0,
c61,c,Malignant neoplasm of prostate,Neoplasms,1915.0,1804.0,1685.0
c6921,c,Malignant neoplasm of right retina,Neoplasms,26.0,11.0,
c6922,c,Malignant neoplasm of left retina,Neoplasms,22.0,11.0,
c73,c,Malignant neoplasm of thyroid gland,Neoplasms,200.0,202.0,164.0
c7490,c,Malignant neoplasm of unspecified part of unspecified adrenal gland,Neoplasms,39.0,40.0,29.0
c7a012,c,Malignant carcinoid tumor of the ileum,Neoplasms,,10.0,
c7a090,c,Malignant carcinoid tumor of the bronchus and lung,Neoplasms,28.0,16.0,16.0
c7a1,c,Malignant poorly differentiated neuroendocrine tumors,Neoplasms,50.0,46.0,63.0
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,127.0,157.0,141.0
c7b02,c,Secondary carcinoid tumors of liver,Neoplasms,28.0,25.0,20.0
c7b09,c,Secondary carcinoid tumors of other sites,Neoplasms,15.0,16.0,10.0
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,62.0,98.0,99.0
c770,c,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",Neoplasms,243.0,247.0,255.0
c7800,c,Secondary malignant neoplasm of unspecified lung,Neoplasms,1286.0,1150.0,1069.0
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,720.0,633.0,618.0
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,644.0,596.0,592.0
c784,c,Secondary malignant neoplasm of small intestine,Neoplasms,91.0,107.0,101.0
c785,c,Secondary malignant neoplasm of large intestine and rectum,Neoplasms,166.0,181.0,152.0
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1064.0,1012.0,1036.0
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2683.0,2508.0,2454.0
c7901,c,Secondary malignant neoplasm of right kidney and renal pelvis,Neoplasms,29.0,28.0,26.0
c7902,c,Secondary malignant neoplasm of left kidney and renal pelvis,Neoplasms,28.0,35.0,27.0
c7931,c,Secondary malignant neoplasm of brain,Neoplasms,1369.0,1219.0,1179.0
c7951,c,Secondary malignant neoplasm of bone,Neoplasms,3119.0,3011.0,2634.0
c7952,c,Secondary malignant neoplasm of bone marrow,Neoplasms,60.0,69.0,45.0
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,28.0,28.0,33.0
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,28.0,23.0,22.0
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,131.0,132.0,132.0
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,189.0,179.0,152.0
c7982,c,Secondary malignant neoplasm of genital organs,Neoplasms,121.0,123.0,100.0
c8333,c,"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes",Neoplasms,42.0,58.0,40.0
c8350,c,"Lymphoblastic (diffuse) lymphoma, unspecified site",Neoplasms,17.0,19.0,13.0
c9030,c,Solitary plasmacytoma not having achieved remission,Neoplasms,26.0,23.0,27.0
c9100,c,Acute lymphoblastic leukemia not having achieved remission,Neoplasms,382.0,429.0,446.0
d120,d,Benign neoplasm of cecum,Blood and immune disorders ,137.0,124.0,116.0
d122,d,Benign neoplasm of ascending colon,Blood and immune disorders ,196.0,149.0,142.0
d123,d,Benign neoplasm of transverse colon,Blood and immune disorders ,179.0,144.0,135.0
d124,d,Benign neoplasm of descending colon,Blood and immune disorders ,106.0,73.0,85.0
d125,d,Benign neoplasm of sigmoid colon,Blood and immune disorders ,160.0,120.0,100.0
d176,d,Benign lipomatous neoplasm of spermatic cord,Blood and immune disorders ,24.0,13.0,21.0
d251,d,Intramural leiomyoma of uterus,Blood and immune disorders ,143.0,131.0,95.0
d252,d,Subserosal leiomyoma of uterus,Blood and immune disorders ,161.0,121.0,146.0
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1200.0,981.0,1031.0
d3501,d,Benign neoplasm of right adrenal gland,Blood and immune disorders ,140.0,117.0,89.0
d3502,d,Benign neoplasm of left adrenal gland,Blood and immune disorders ,194.0,189.0,138.0
d432,d,"Neoplasm of uncertain behavior of brain, unspecified",Blood and immune disorders ,,10.0,
d4709,d,Other mast cell neoplasms of uncertain behavior,Blood and immune disorders ,,14.0,
d47z1,d,Post-transplant lymphoproliferative disorder (PTLD),Blood and immune disorders ,41.0,48.0,41.0
d5700,d,"Hb-SS disease with crisis, unspecified",Blood and immune disorders ,308.0,270.0,261.0
d5740,d,Sickle-cell thalassemia without crisis,Blood and immune disorders ,10.0,15.0,
