Source,Target,Weight20192
a020,a021,0.1738
a020,a040,0.0552
a021,a041,0.0585
a021,a5900,0.0536
a029,k753,0.0958
a039,a071,0.0501
a040,a044,0.0591
a040,a045,0.0951
a040,a071,0.0604
a040,a072,0.0697
a041,b9623,0.0527
a041,n8311,0.0606
a041,q042,0.0585
a041,s80862a,0.0629
a044,b9623,0.0856
a0472,r6521,0.0727
a071,a072,0.1067
a071,k50111,0.057
a082,c9202,0.0503
a082,d89810,0.0846
a082,q411,0.0593
a0839,b258,0.261
a150,t371x5a,0.0677
a280,s61252a,0.0892
a280,s61451a,0.055
a280,s61452a,0.0974
a280,s61551a,0.0568
a280,z2914,0.0601
a312,a430,0.0536
a312,b440,0.0799
a312,d761,0.0851
a312,e881,0.0509
a312,h918x9,0.05
a312,l98421,0.1054
a312,t380x5s,0.0509
a318,e7204,0.074
a318,e7521,0.0573
a318,h02409,0.0614
a318,m86472,0.0686
a318,t84624a,0.0769
a318,t84629a,0.074
a3790,p7441,0.06
a403,g001,0.0744
a403,j13,0.1335
a403,j154,0.0604
a4101,g061,0.0547
a4101,i2690,0.0524
a4101,i330,0.0841
a4101,i76,0.0664
a4101,j15211,0.0656
a4101,t80211a,0.0696
a4101,t827xxa,0.0547
a4102,i330,0.0753
a4102,j15212,0.0755
a4102,t80211a,0.0545
a4102,t827xxa,0.0608
a411,t80211a,0.0875
a413,g372,0.0794
a413,i400,0.0525
a413,i409,0.0689
a413,j14,0.1299
a413,z652,0.0525
a4151,n10,0.0992
a4151,n12,0.0881
a4151,n136,0.0757
a4151,r6520,0.0761
a4151,r6521,0.0596
a4151,z1612,0.0691
a4151,z1624,0.0543
a4152,j151,0.0746
a4159,b961,0.065
a4159,t80211a,0.0571
a4181,b377,0.0554
a4181,z1621,0.1035
a419,b9620,0.0763
a419,d509,0.0524
a419,d62,0.0582
a419,d631,0.0668
a419,d638,0.0639
a419,d649,0.0966
a419,d696,0.0752
a419,e039,0.0722
a419,e1122,0.0931
a419,e1165,0.0969
a419,e119,0.0648
a419,e43,0.077
a419,e46,0.0653
a419,e6601,0.07
a419,e669,0.0551
a419,e7800,0.0599
a419,e785,0.0716
a419,e8339,0.0609
a419,e8342,0.1025
a419,e860,0.1143
a419,e870,0.0791
a419,e871,0.1358
a419,e872,0.2026
a419,e875,0.0743
a419,e876,0.1247
a419,f0390,0.0625
a419,f17210,0.0705
a419,f329,0.0619
a419,f419,0.0584
a419,g4733,0.0617
a419,g8929,0.067
a419,g92,0.0599
a419,g9341,0.1628
a419,i10,0.0738
a419,i110,0.0679
a419,i129,0.0791
a419,i130,0.0641
a419,i2510,0.0722
a419,i480,0.0735
a419,i4891,0.069
a419,j181,0.0518
a419,j189,0.1586
a419,j440,0.0861
a419,j441,0.0655
a419,j449,0.0563
a419,j690,0.1406
a419,j90,0.0803
a419,j9601,0.1801
a419,j9621,0.0802
a419,j9811,0.0591
a419,k219,0.0698
a419,k5900,0.0519
a419,l03115,0.0633
a419,l03116,0.0648
a419,m1990,0.0565
a419,n136,0.0554
a419,n170,0.0968
a419,n179,0.1445
a419,n186,0.0626
a419,n189,0.0604
a419,n390,0.1592
a419,n400,0.0598
a419,r1310,0.051
a419,r6520,0.1468
a419,r6521,0.2383
a419,z515,0.1169
a419,z66,0.142
a419,z7901,0.0736
a419,z794,0.0939
a419,z7952,0.0526
a419,z7982,0.0725
a419,z7984,0.0765
a419,z79899,0.075
a419,z8673,0.052
a419,z87891,0.0849
a419,z9049,0.057
a419,z90710,0.0502
a419,z992,0.0575
a419,z9981,0.0646
a429,i4949,0.0608
a430,b441,0.0855
a430,e840,0.0524
a430,t86812,0.0956
a480,e1152,0.1179
a480,e11628,0.0551
a480,l02611,0.0508
a480,l97514,0.0576
a480,m726,0.1018
a480,m86171,0.0609
a483,m85852,0.0909
a483,n8311,0.062
a483,n8312,0.0728
a483,t192xxa,0.0951
a498,c049,0.05
a498,r402431,0.0525
a498,s0280xd,0.1131
a498,s20221a,0.062
a498,s272xxd,0.1025
a498,t796xxd,0.1025
a502,p364,0.0784
a509,z202,0.0612
a528,m868x5,0.0886
a528,o4102x0,0.0688
a528,o9812,0.0848
a528,z113,0.0727
a530,o9812,0.1613
a5401,a5402,0.0822
a5401,a6002,0.0951
a5401,f1519,0.0608
a5401,n910,0.0951
a5401,r369,0.075
a5401,s50812d,0.0822
a5401,t2027xa,0.0862
a5401,t23241a,0.0951
a5401,t23251a,0.1
a5401,t23252a,0.0784
a5401,t23261a,0.0525
a5401,t23262a,0.0564
a5401,t23272a,0.0822
a5402,a5602,0.2896
a5402,f1519,0.056
a5402,l2389,0.0794
a5402,n766,0.0665
a5402,o9822,0.1085
a5424,a5611,0.1284
a5424,i658,0.0822
a5424,l928,0.0642
a5424,n6452,0.0642
a5424,n915,0.0767
a5442,b948,0.0525
a549,a749,0.1122
a549,o9822,0.0818
a5600,o368120,0.0539
a5600,o9822,0.0509
a5600,o98312,0.068
a5600,r4589,0.0624
a5601,b399,0.0508
a5601,b451,0.0564
a5601,g970,0.0822
a5601,m71022,0.0822
a5602,a5611,0.0539
a5602,a5900,0.0552
a5602,a5901,0.0809
a5602,n738,0.0566
a5602,n766,0.0552
a5602,o98312,0.0606
a5611,a599,0.0589
a5611,n7091,0.0717
a5611,n738,0.0624
a5611,n8302,0.0571
a5611,o42012,0.0936
a5611,t8332xa,0.0555
a562,o98312,0.0754
a562,o98313,0.097
a562,o98319,0.0961
a568,a599,0.0614
a568,o9822,0.1106
a568,o98313,0.078
a568,o98319,0.2002
a568,o9832,0.0885
a5901,o98312,0.0623
a599,o9832,0.054
a6000,o98313,0.0773
a6000,o9832,0.4752
a6002,f1999,0.0897
a6002,r369,0.0728
a6002,t375x6a,0.0728
a6004,n766,0.0592
a6004,o9832,0.0641
a6009,o98313,0.0601
a6009,o9832,0.1219
