Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471.0,411.0,402.0
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615.0,565.0,527.0
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367.0,355.0,134.0
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1193.0,1147.0,400.0
c561,c,Malignant neoplasm of right ovary,Neoplasms,93.0,96.0,76.0
c562,c,Malignant neoplasm of left ovary,Neoplasms,110.0,97.0,84.0
c6921,c,Malignant neoplasm of right retina,Neoplasms,26.0,11.0,
c6922,c,Malignant neoplasm of left retina,Neoplasms,22.0,11.0,
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,720.0,633.0,618.0
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,644.0,596.0,592.0
c7901,c,Secondary malignant neoplasm of right kidney and renal pelvis,Neoplasms,29.0,28.0,26.0
c7902,c,Secondary malignant neoplasm of left kidney and renal pelvis,Neoplasms,28.0,35.0,27.0
c7961,c,Secondary malignant neoplasm of right ovary,Neoplasms,28.0,28.0,33.0
c7962,c,Secondary malignant neoplasm of left ovary,Neoplasms,28.0,23.0,22.0
c7971,c,Secondary malignant neoplasm of right adrenal gland,Neoplasms,131.0,132.0,132.0
c7972,c,Secondary malignant neoplasm of left adrenal gland,Neoplasms,189.0,179.0,152.0
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1200.0,981.0,1031.0
d61810,d,Antineoplastic chemotherapy induced pancytopenia,Blood and immune disorders ,1969.0,1813.0,1836.0
d631,d,Anemia in chronic kidney disease,Blood and immune disorders ,13546.0,13068.0,
d6832,d,Hemorrhagic disorder due to extrinsic circulating anticoagulants,Blood and immune disorders ,554.0,542.0,600.0
d709,d,"Neutropenia, unspecified",Blood and immune disorders ,1227.0,1096.0,1170.0
d89811,d,Chronic graft-versus-host disease,Blood and immune disorders ,81.0,90.0,56.0
d89813,d,"Graft-versus-host disease, unspecified",Blood and immune disorders ,100.0,86.0,91.0
