Source,Target,Weight20192
c6921,c6922,0.7194
c7801,c7802,0.6962
f0280,g309,0.723
h01003,h01006,0.6338
i120,n186,0.628
i120,z992,0.6279
i69310,i69314,0.675
i8311,i8312,0.7462
i83218,i83228,0.6027
m19041,m19042,0.7879
m62561,m62562,0.6975
n186,z992,0.8873
o30043,z372,0.6956
o3403,q513,0.6619
o364xx0,z371,0.6236
o6014x1,o6014x2,0.6626
r402110,r402210,0.6476
r402111,r402211,0.8028
r402111,r402311,0.8126
r402112,r402212,0.7649
r402112,r402312,0.6923
r402141,r402251,0.7262
r402141,r402361,0.8665
r402142,r402252,0.8220000000000001
r402142,r402362,0.9102
r402143,r402253,0.8051
r402143,r402363,0.8659
r402144,r402364,0.6107
r402211,r402311,0.7901
r402212,r402312,0.6301
r402251,r402361,0.77
r402252,r402362,0.8511
r402253,r402363,0.8287
r402254,r402364,0.6297
r41840,r41844,0.6038
s40021d,s40022d,0.7692
s40811d,s40812d,0.7093
s92321a,s92331a,0.6647
s92322a,s92332a,0.6229
s92322d,s92342d,0.6667
s92324a,s92334a,0.6036
s92331a,s92341a,0.6913
s92332a,s92342a,0.7868
t2023xa,t2024xa,0.6459
t23261a,t23262a,0.6245
t23341a,t23342a,0.6923
t23341a,t23351a,0.7546
t23342a,t23352a,0.6395
t23342a,t23362a,0.7402
t23352a,t23362a,0.6136
z114,z1159,0.8302
z9841,z9842,0.8697
