Source,Target,Weight20192
a020,a021,0.1738
a071,a072,0.1067
a0839,b258,0.261
a312,l98421,0.1054
a403,j13,0.1335
a413,j14,0.1299
a4181,z1621,0.1035
a419,e8342,0.1025
a419,e860,0.1143
a419,e871,0.1358
a419,e872,0.2026
a419,e876,0.1247
a419,g9341,0.1628
a419,j189,0.1586
a419,j690,0.1406
a419,j9601,0.1801
a419,n179,0.1445
a419,n390,0.1592
a419,r6520,0.1468
a419,r6521,0.2383
a419,z515,0.1169
a419,z66,0.142
a480,e1152,0.1179
a480,m726,0.1018
a498,s0280xd,0.1131
a498,s272xxd,0.1025
a498,t796xxd,0.1025
a530,o9812,0.1613
a5401,t23251a,0.1
a5402,a5602,0.2896
a5402,o9822,0.1085
a5424,a5611,0.1284
a549,a749,0.1122
a568,o9822,0.1106
a568,o98319,0.2002
a6000,o9832,0.4752
a6009,o9832,0.1219
a630,o9832,0.1494
a878,a9232,0.2896
a9232,g02,0.2964
b003,b004,0.1561
b009,o9852,0.5227
b081,b960,0.1051
b182,f1123,0.1187
b182,k7460,0.1052
b1920,f1510,0.1
b1920,k7460,0.1203
b384,b387,0.1008
b384,g914,0.1025
b4481,e0865,0.1592
b4481,e300,0.1099
b4481,e840,0.1242
b4481,e848,0.1287
b49,j168,0.1063
b871,l97818,0.1015
b951,o9882,0.11199999999999999
b952,z1621,0.1409
b9561,r7881,0.1186
b9620,n10,0.1127
b9620,n390,0.2315
b9681,k2950,0.1036
b9689,r7881,0.1077
b9710,b9789,0.3213
b9710,j206,0.2033
b9710,j218,0.22
b9789,j069,0.1734
b9789,j218,0.1993
c01,c109,0.1067
c049,c411,0.2017
c060,c069,0.1345
c060,c411,0.1082
c069,c411,0.1557
c169,z903,0.1018
c220,i81,0.1181
c221,k8309,0.12300000000000001
c259,z90411,0.1009
c320,c7839,0.1036
c3481,c3482,0.2339
c3490,c7931,0.2214
c3490,c7951,0.1221
c3491,c3492,0.14
c412,m8458xd,0.121
c479,c495,0.1248
c479,q8501,0.1015
c493,c761,0.1104
c50911,c50912,0.1085
c50911,z170,0.1638
c50911,z171,0.1086
c50912,z170,0.1852
c50919,c7951,0.1081
c561,c562,0.3081
c569,c786,0.1398
c569,r180,0.1229
c609,z8549,0.2151
c61,c7951,0.1845
c672,c674,0.1534
c6921,c6922,0.7194
c73,c770,0.1237
c7490,c7952,0.1341
c7490,z8043,0.1079
c773,z170,0.1258
c773,z171,0.1032
c7800,c787,0.2086
c7800,c7931,0.1408
c7800,c7951,0.1529
c7800,g893,0.1293
c7801,c7802,0.6962
c7801,c787,0.1134
c784,c785,0.1046
c785,c7982,0.1157
c786,c787,0.1291
c786,g893,0.111
c786,r180,0.2175
c787,c7931,0.1197
c787,c7951,0.262
c787,d630,0.1476
c787,g893,0.2009
c787,j910,0.1015
c787,t451x5a,0.1085
c787,z9221,0.1073
c7901,c7902,0.3157
c7911,c7919,0.1179
c7911,c7982,0.1264
c7931,c7951,0.1655
c7931,g936,0.1895
c7949,g9529,0.1032
c7951,d630,0.1317
c7951,g893,0.2523
c7951,j910,0.1139
c7951,t451x5a,0.11699999999999999
c7951,z9221,0.1036
c7951,z923,0.1327
c7961,c7962,0.5357
c7971,c7972,0.4059
c7a090,c7b02,0.1034
c7a090,c7b09,0.1687
c7a090,e248,0.1342
c7a1,c7b8,0.1537
c7a8,c7b8,0.2767
c7b02,c7b09,0.1336
c7b09,e248,0.1569
c8330,z5111,0.1176
c8332,c8335,0.1212
c8338,z7689,0.1205
c8589,d47z1,0.1088
c9000,z9484,0.1124
c9100,d61810,0.1064
c9100,z5111,0.1254
c9102,z5112,0.1113
c9200,d61810,0.1117
c9200,r5081,0.1166
c9201,d89811,0.1077
c9202,t865,0.1001
c9230,c92a0,0.1145
d0511,d0512,0.2035
d069,o9a12,0.1843
d120,d122,0.1633
d120,d123,0.1255
d120,d124,0.1306
d122,d123,0.2845
d122,d124,0.2062
d122,d125,0.1868
d123,d124,0.1971
d123,d125,0.2109
d124,d125,0.2118
d132,d135,0.1174
d1779,q068,0.1073
d2239,d224,0.1472
d250,d251,0.1424
d250,d252,0.114
d251,d252,0.2219
d252,o3413,0.23399999999999999
d259,n920,0.1759
d259,o3413,0.3208
d270,d271,0.1158
d333,h9041,0.1466
d333,h9042,0.1873
d3501,d3502,0.182
d351,e210,0.1345
d352,h4742,0.1412
d352,j342,0.1292
d464,d72822,0.1107
d47z1,t86298,0.1216
d5700,d730,0.1456
d5700,z832,0.1499
d571,d730,0.1032
d57219,d730,0.1454
d57419,d75a,0.1213
d593,m311,0.1238
d61810,d709,0.1622
d61810,r5081,0.3142
d61810,t451x5a,0.4138
d61810,z5111,0.1352
d61818,k7290,0.1191
d61818,k7460,0.1319
d61818,k766,0.1802
d62,d696,0.1089
d62,e785,0.1034
d62,e871,0.1124
d62,e872,0.1217
d62,i2510,0.1128
d62,k922,0.1203
d62,n179,0.114
d62,z7901,0.1022
d62,z7982,0.10099999999999999
d630,d6481,0.1465
d630,g893,0.1663
d630,t451x5a,0.132
d631,e1121,0.1208
d631,e1122,0.3855
d631,e1140,0.1045
d631,e1142,0.1049
d631,e1151,0.1158
d631,e1165,0.1076
d631,e8339,0.1376
d631,e871,0.1202
d631,e872,0.1478
d631,e875,0.2493
d631,e8770,0.1067
d631,i120,0.3753
d631,i129,0.1621
d631,i130,0.1498
d631,i132,0.2365
d631,i2510,0.1203
d631,i509,0.10099999999999999
d631,n179,0.138
d631,n184,0.1515
d631,n186,0.5827
d631,n2581,0.1186
d631,z7902,0.1016
d631,z794,0.1829
d631,z7982,0.1085
d631,z992,0.5443
d6481,d701,0.1381
d6481,r5081,0.1119
d6481,t451x5a,0.2851
d6481,z5111,0.2448
d649,e039,0.124
d649,e785,0.1373
d649,e860,0.1127
d649,e871,0.1472
d649,e872,0.125
d649,e876,0.1563
d649,f329,0.1083
d649,f419,0.1034
d649,g8929,0.1003
d649,i10,0.1258
d649,i2510,0.1321
d649,j9601,0.1019
d649,k219,0.1255
d649,n179,0.1522
d649,n390,0.1093
d649,o9902,0.1223
d649,z66,0.1093
d649,z7901,0.1117
d649,z794,0.1114
d649,z7982,0.1234
d649,z79899,0.1249
d649,z87891,0.131
d6832,t45515a,0.3475
d6832,t45525a,0.1188
d684,d6959,0.1636
d684,i8510,0.1572
d684,k3189,0.1651
d684,k7011,0.1182
d684,k7030,0.1214
d684,k7031,0.2861
d684,k7040,0.1359
d684,k7200,0.1078
d684,k7290,0.1992
d684,k766,0.2717
d684,k767,0.14300000000000002
d6851,o9912,0.1096
d6852,q224,0.1075
d689,k7031,0.107
d689,k7290,0.1159
d689,k766,0.1369
d6949,s134xxd,0.1036
d6949,s52302d,0.1088
d6959,k7030,0.1257
d6959,k7031,0.133
d6959,k7290,0.11199999999999999
d6959,k7460,0.111
d6959,k766,0.2078
d6959,t451x5a,0.129
d696,e872,0.1151
d700,d704,0.2587
d701,r5081,0.1484
