Source,Target,Weight20192
a6000,o9832,0.4752
b009,o9852,0.5227
c6921,c6922,0.7194
c7801,c7802,0.6962
c7961,c7962,0.5357
c7971,c7972,0.4059
d61810,t451x5a,0.4138
d631,n186,0.5827
d631,z992,0.5443
d709,r5081,0.4186
e1139,h42,0.4288
e1143,k3184,0.515
e119,z7984,0.4026
e43,z681,0.4077
e785,i10,0.4228
e840,e848,0.4702
e854,i680,0.4817
f0280,g309,0.723
f810,f812,0.4562
h01003,h01006,0.6338
i120,n186,0.628
i120,z992,0.6279
i69020,i69051,0.4311
i69051,i69091,0.4096
i69110,i69111,0.4308
i69110,i69114,0.5
i69111,i69114,0.4786
i69120,i69151,0.4134
i69122,i69191,0.4307
i69122,i69192,0.5032
i69310,i69314,0.675
i69322,i69391,0.4074
i82512,i82532,0.4222
i83018,i83028,0.4999
i83019,i83029,0.4878
i8311,i8312,0.7462
i83218,i83228,0.6027
j440,j441,0.4157
j705,t59811a,0.4064
j9621,z9981,0.415
k5903,t402x5a,0.521
l02412,l03112,0.4795
l233,t490x5a,0.4159
l89310,l89320,0.4795
l89311,l89321,0.4877
l89312,l89322,0.4888
l89313,l89323,0.4285
l89319,l89329,0.4419
l89611,l89621,0.5712
l89619,l89629,0.4252
l97811,l97821,0.4071
l97911,l97921,0.5193
l97919,l97929,0.4923
m13861,m13862,0.4995
m19041,m19042,0.7879
m2141,m2142,0.4225
m24541,m24542,0.5249
m25541,m25542,0.4385
m2602,m2603,0.4972
m4624,m4644,0.4104
m4626,m4646,0.4476
m62461,m62462,0.4757
m62561,m62562,0.6975
n141,t508x5a,0.5817
n186,z992,0.8873
n401,r338,0.5856
o30043,z372,0.6956
o3403,q513,0.6619
o364xx0,z371,0.6236
o480,z3a41,0.4571
o6014x1,o6014x2,0.6626
o99321,o99331,0.4587
o99322,o99332,0.4796
p0418,p718,0.4182
p0701,p0721,0.594
p09,r94120,0.4281
p220,p284,0.4332
p220,p612,0.4985
p284,p590,0.4355
p284,p612,0.4899
r402110,r402210,0.6476
r402111,r402211,0.8028
r402111,r402311,0.8126
r402112,r402212,0.7649
r402112,r402312,0.6923
r402113,r402213,0.5724
r402113,r402313,0.4229
r402114,r402214,0.5293
r402114,r402314,0.5272
r402120,r402340,0.5
r402121,r402221,0.5232
r402121,r402341,0.4527
r402141,r402251,0.7262
r402141,r402361,0.8665
r402142,r402252,0.8220000000000001
r402142,r402362,0.9102
r402143,r402253,0.8051
r402143,r402363,0.8659
r402144,r402254,0.5068
r402144,r402364,0.6107
r402211,r402311,0.7901
r402212,r402312,0.6301
r402221,r402341,0.4344
r402251,r402361,0.77
r402252,r402362,0.8511
r402253,r402363,0.8287
r402254,r402364,0.6297
r41840,r41844,0.6038
r45851,z915,0.4717
s0231xa,s0240ca,0.4119
s02611a,s02612a,0.40399999999999997
s061x7a,s066x7a,0.4053
s065x1a,s066x1a,0.4195
s065x7a,s066x7a,0.5055
s12590d,s12690d,0.43700000000000006
s22018a,s22028a,0.4888
s22019d,s22029d,0.5137
s22028a,s22038a,0.4778
s22029d,s22039d,0.4961
s22030a,s22040a,0.4742
s22039a,s22049a,0.4261
s22039d,s22049d,0.4863
s22048a,s22058a,0.4092
s31819a,s31829a,0.4796
s32018a,s32028a,0.4823
s32019a,s32029a,0.4286
s32019d,s32029d,0.4209
s32019d,s32039d,0.41700000000000004
s32028a,s32038a,0.5013
s32029a,s32039a,0.5219
s32029d,s32039d,0.4893
s32038a,s32048a,0.5177
s32039a,s32049a,0.4766
s32039d,s32049d,0.4919
s32049d,s32059d,0.431
s40021d,s40022d,0.7692
s40811d,s40812d,0.7093
s50811d,s50812d,0.556
s52501b,s52601b,0.4821
s56221a,s56521a,0.4545
s61511d,s61512d,0.5022
s71111d,s71112d,0.4846
s80211a,s80212a,0.5444
s80211d,s80212d,0.5089
s80811a,s80812a,0.5357
s80811d,s80812d,0.5531
s80861a,s80862a,0.5215
s82201b,s82401b,0.4087
s82202b,s82402b,0.4315
s82202d,s82402d,0.4445
s90811a,s90812a,0.5
s90821a,s90822a,0.5399
s92321a,s92331a,0.6647
s92321a,s92341a,0.5483
s92322a,s92332a,0.6229
s92322a,s92342a,0.5333
s92322d,s92342d,0.6667
s92324a,s92334a,0.6036
s92331a,s92341a,0.6913
s92332a,s92342a,0.7868
s92334a,s92344a,0.5596
s92335a,s92345a,0.4961
t2023xa,t2024xa,0.6459
