Source,Target,Weight20192
c6921,c6922,0.7194
f0280,g309,0.723
i8311,i8312,0.7462
m19041,m19042,0.7879
n186,z992,0.8873
r402111,r402211,0.8028
r402111,r402311,0.8126
r402112,r402212,0.7649
r402141,r402251,0.7262
r402141,r402361,0.8665
r402142,r402252,0.8220000000000001
r402142,r402362,0.9102
r402143,r402253,0.8051
r402143,r402363,0.8659
r402211,r402311,0.7901
r402251,r402361,0.77
r402252,r402362,0.8511
r402253,r402363,0.8287
s40021d,s40022d,0.7692
s40811d,s40812d,0.7093
s92332a,s92342a,0.7868
t23341a,t23351a,0.7546
t23342a,t23362a,0.7402
z114,z1159,0.8302
z9841,z9842,0.8697
